INDEX,AWARD_TYPE,AWARD_ID,AWARD_NUM,FEAT_NEED,DAMAGE_RANK_MIN,DAMAGE_RANK_MAX,FEAT_RANK_MIN,FEAT_RANK_MAX,LEVEL_MIN,LEVEL_MAX
INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT
1,1,1000002,10000,5000,0,0,0,0,35,49
2,1,30305,1,6000,0,0,0,0,35,49
3,1,1000002,10000,7000,0,0,0,0,35,49
4,1,15203,1,8000,0,0,0,0,35,49
5,1,1000002,10000,9000,0,0,0,0,35,49
6,1,2000015,1,10000,0,0,0,0,35,49
7,1,1000002,10000,11000,0,0,0,0,35,49
8,1,30305,1,12000,0,0,0,0,35,49
9,1,1000002,10000,13000,0,0,0,0,35,49
10,1,15203,1,14000,0,0,0,0,35,49
11,1,1000002,10000,15000,0,0,0,0,35,49
12,1,2000015,1,16000,0,0,0,0,35,49
13,1,1000002,10000,17000,0,0,0,0,35,49
14,1,30305,1,18000,0,0,0,0,35,49
15,1,1000002,10000,19000,0,0,0,0,35,49
16,1,15203,1,20000,0,0,0,0,35,49
17,1,1000002,10000,21000,0,0,0,0,35,49
18,1,2000015,1,22000,0,0,0,0,35,49
19,1,1000002,10000,23000,0,0,0,0,35,49
20,1,30305,1,24000,0,0,0,0,35,49
21,1,1000002,10000,25000,0,0,0,0,35,49
22,1,2000001,10,26000,0,0,0,0,35,49
23,1,1000002,10000,27000,0,0,0,0,35,49
24,1,2000015,1,28000,0,0,0,0,35,49
25,1,1000002,15000,29000,0,0,0,0,35,49
26,1,30305,1,30000,0,0,0,0,35,49
27,1,1000002,15000,31000,0,0,0,0,35,49
28,1,2000001,10,32000,0,0,0,0,35,49
29,1,1000002,15000,33000,0,0,0,0,35,49
30,1,2000015,1,34000,0,0,0,0,35,49
31,1,1000002,15000,35000,0,0,0,0,35,49
32,1,30305,1,36000,0,0,0,0,35,49
33,1,1000002,15000,37000,0,0,0,0,35,49
34,1,2000001,10,38000,0,0,0,0,35,49
35,1,1000002,15000,39000,0,0,0,0,35,49
36,1,2000015,1,40000,0,0,0,0,35,49
37,1,1000002,25000,41000,0,0,0,0,35,49
38,1,30305,1,42000,0,0,0,0,35,49
39,1,1000002,25000,43000,0,0,0,0,35,49
40,1,2000001,10,44000,0,0,0,0,35,49
41,1,1000002,25000,45000,0,0,0,0,35,49
42,1,2000015,1,46000,0,0,0,0,35,49
43,1,1000002,25000,47000,0,0,0,0,35,49
44,1,30305,1,48000,0,0,0,0,35,49
45,1,1000002,25000,49000,0,0,0,0,35,49
46,1,2000001,10,50000,0,0,0,0,35,49
47,1,1000002,25000,51000,0,0,0,0,35,49
48,1,2000015,1,52000,0,0,0,0,35,49
49,1,1000002,30000,53000,0,0,0,0,35,49
50,1,15203,1,54000,0,0,0,0,35,49
51,1,1000002,30000,55000,0,0,0,0,35,49
52,1,2000001,10,56000,0,0,0,0,35,49
53,1,1000002,30000,57000,0,0,0,0,35,49
54,1,2000001,10,58000,0,0,0,0,35,49
55,1,1000002,20000,5000,0,0,0,0,50,69
56,1,30305,1,6000,0,0,0,0,50,69
57,1,1000002,20000,7000,0,0,0,0,50,69
58,1,15203,1,8000,0,0,0,0,50,69
59,1,1000002,20000,9000,0,0,0,0,50,69
60,1,2000015,1,10000,0,0,0,0,50,69
61,1,1000002,20000,11000,0,0,0,0,50,69
62,1,30305,1,12000,0,0,0,0,50,69
63,1,1000002,20000,13000,0,0,0,0,50,69
64,1,15203,1,14000,0,0,0,0,50,69
65,1,1000002,20000,15000,0,0,0,0,50,69
66,1,2000015,1,16000,0,0,0,0,50,69
67,1,1000002,20000,17000,0,0,0,0,50,69
68,1,30305,1,18000,0,0,0,0,50,69
69,1,1000002,20000,19000,0,0,0,0,50,69
70,1,15203,1,20000,0,0,0,0,50,69
71,1,1000002,20000,21000,0,0,0,0,50,69
72,1,2000015,1,22000,0,0,0,0,50,69
73,1,1000002,20000,23000,0,0,0,0,50,69
74,1,30305,1,24000,0,0,0,0,50,69
75,1,1000002,20000,25000,0,0,0,0,50,69
76,1,2000001,15,26000,0,0,0,0,50,69
77,1,1000002,20000,27000,0,0,0,0,50,69
78,1,2000015,1,28000,0,0,0,0,50,69
79,1,1000002,25000,29000,0,0,0,0,50,69
80,1,30305,1,30000,0,0,0,0,50,69
81,1,1000002,25000,31000,0,0,0,0,50,69
