INDEX,TYPE,TITLE,ICON_ATLAS_NAME,ICON_SPRITE_NAME,CONDITION,LAST,DAILY_UPDATE,DAILY_PURCHASE,ITEM_LIST,PRICE
INT,INT,STRING,STRING,STRING,STRING,INT,INT,INT,STRING,STRING
1,1,等级礼包,ResourceAtlas1,material_vipbaoxiang,1#130#130,8640,1,1,1000001#99999|1000001#99999|1000001#99999|1000001#99999,999#99
2,1,突破礼包,ResourceAtlas1,material_vipbaoxiang,1#130#131,8640,1,1,1000001#99999|1000001#99999|1000001#99999|1000001#99999,999#99
3,1,精炼礼包,ResourceAtlas1,material_vipbaoxiang,1#130#132,8640,1,1,1000001#99999|1000001#99999|1000001#99999|1000001#99999,999#99
4,1,战力礼包,ResourceAtlas1,material_vipbaoxiang,1#130#133,8640,1,1,1000001#99999|1000001#99999|1000001#99999|1000001#99999,999#99
5,1,法器礼包,ResourceAtlas1,material_vipbaoxiang,1#130#134,8640,1,1,1000001#99999|1000001#99999|1000001#99999|1000001#99999,999#99
6,2,限时特惠大礼包,ResourceAtlas1,material_vipbaoxiang,1#130#135,8640,1,1,1000001#99999|1000001#99999|1000001#99999|1000001#99999,999#99
7,1,等级礼包,ResourceAtlas1,material_vipbaoxiang,1#130#136,8640,1,1,1000001#99999|1000001#99999|1000001#99999|1000001#99999,999#99
8,1,突破礼包,ResourceAtlas1,material_vipbaoxiang,1#130#137,8640,1,1,1000001#99999|1000001#99999|1000001#99999|1000001#99999,999#99
9,1,精炼礼包,ResourceAtlas1,material_vipbaoxiang,1#130#138,8640,1,1,1000001#99999|1000001#99999|1000001#99999|1000001#99999,999#99
10,1,战力礼包,ResourceAtlas1,material_vipbaoxiang,1#130#139,8640,1,1,1000001#99999|1000001#99999|1000001#99999|1000001#99999,999#99
11,1,法器礼包,ResourceAtlas1,material_vipbaoxiang,1#130#140,8640,1,1,1000001#99999|1000001#99999|1000001#99999|1000001#99999,999#99
12,2,限时特惠大礼包,ResourceAtlas1,material_vipbaoxiang,1#130#141,8640,1,1,1000001#99999|1000001#99999|1000001#99999|1000001#99999,999#99
13,1,等级礼包,ResourceAtlas1,material_vipbaoxiang,1#130#142,8640,1,1,1000001#99999|1000001#99999|1000001#99999|1000001#99999,999#99
14,1,突破礼包,ResourceAtlas1,material_vipbaoxiang,1#130#143,8640,1,1,1000001#99999|1000001#99999|1000001#99999|1000001#99999,999#99
15,1,精炼礼包,ResourceAtlas1,material_vipbaoxiang,1#130#144,8640,1,1,1000001#99999|1000001#99999|1000001#99999|1000001#99999,999#99
16,1,战力礼包,ResourceAtlas1,material_vipbaoxiang,1#130#145,8640,1,1,1000001#99999|1000001#99999|1000001#99999|1000001#99999,999#99
17,1,法器礼包,ResourceAtlas1,material_vipbaoxiang,1#130#146,8640,1,1,1000001#99999|1000001#99999|1000001#99999|1000001#99999,999#99
18,2,限时特惠大礼包,ResourceAtlas1,material_vipbaoxiang,1#130#147,8640,1,1,1000001#99999|1000001#99999|1000001#99999|1000001#99999,999#99
