INDEX,NAME,ICON_ATLAS,ICON_NAME,ROLEEQUIPID,ICON_BLACKATLAS
INT,STRING,STRING,STRING,INT,STRING
17001,流云飞扇碎片1,MagicFragmentAtlas,equip_magic_blue_01_01,15001,MagicFragmentBlackAtlas
17002,流云飞扇碎片2,MagicFragmentAtlas,equip_magic_blue_01_02,15001,MagicFragmentBlackAtlas
17003,流云飞扇碎片3,MagicFragmentAtlas,equip_magic_blue_01_03,15001,MagicFragmentBlackAtlas
17004,雪魂塔碎片1,MagicFragmentAtlas,equip_magic_blue_02_01,15002,MagicFragmentBlackAtlas
17005,雪魂塔碎片2,MagicFragmentAtlas,equip_magic_blue_02_02,15002,MagicFragmentBlackAtlas
17006,雪魂塔碎片3,MagicFragmentAtlas,equip_magic_blue_02_03,15002,MagicFragmentBlackAtlas
17007,玄冰寒光钟碎片1,MagicFragmentAtlas,equip_magic_purple_01_01,15003,MagicFragmentBlackAtlas
17008,玄冰寒光钟碎片2,MagicFragmentAtlas1,equip_magic_purple_01_02,15003,MagicFragmentBlackAtlas
17009,玄冰寒光钟碎片3,MagicFragmentAtlas1,equip_magic_purple_01_03,15003,MagicFragmentBlackAtlas
17010,玄冰寒光钟碎片4,MagicFragmentAtlas1,equip_magic_purple_01_04,15003,MagicFragmentBlackAtlas
17011,幽火修罗卷碎片1,MagicFragmentAtlas1,equip_magic_purple_02_01,15004,MagicFragmentBlackAtlas
17012,幽火修罗卷碎片2,MagicFragmentAtlas1,equip_magic_purple_02_02,15004,MagicFragmentBlackAtlas
17013,幽火修罗卷碎片3,MagicFragmentAtlas1,equip_magic_purple_02_03,15004,MagicFragmentBlackAtlas
17014,幽火修罗卷碎片4,MagicFragmentAtlas1,equip_magic_purple_02_04,15004,MagicFragmentBlackAtlas
17015,五霞彩英梭碎片1,MagicFragmentAtlas,equip_magic_orange_01_01,15005,MagicFragmentBlackAtlas
17016,五霞彩英梭碎片2,MagicFragmentAtlas,equip_magic_orange_01_02,15005,MagicFragmentBlackAtlas
17017,五霞彩英梭碎片3,MagicFragmentAtlas,equip_magic_orange_01_03,15005,MagicFragmentBlackAtlas
17018,五霞彩英梭碎片4,MagicFragmentAtlas,equip_magic_orange_01_04,15005,MagicFragmentBlackAtlas
17019,五霞彩英梭碎片5,MagicFragmentAtlas,equip_magic_orange_01_05,15005,MagicFragmentBlackAtlas
17020,天火灵幡碎片1,MagicFragmentAtlas,equip_magic_orange_02_01,15006,MagicFragmentBlackAtlas
17021,天火灵幡碎片2,MagicFragmentAtlas,equip_magic_orange_02_02,15006,MagicFragmentBlackAtlas
17022,天火灵幡碎片3,MagicFragmentAtlas,equip_magic_orange_02_03,15006,MagicFragmentBlackAtlas
17023,天火灵幡碎片4,MagicFragmentAtlas,equip_magic_orange_02_04,15006,MagicFragmentBlackAtlas
17024,天火灵幡碎片5,MagicFragmentAtlas,equip_magic_orange_02_05,15006,MagicFragmentBlackAtlas
17025,金蝉符碎片1,MagicFragmentAtlas,equip_magic_blue_11_01,15101,MagicFragmentBlackAtlas
17026,金蝉符碎片2,MagicFragmentAtlas,equip_magic_blue_11_02,15101,MagicFragmentBlackAtlas
17027,金蝉符碎片3,MagicFragmentAtlas,equip_magic_blue_11_03,15101,MagicFragmentBlackAtlas
17028,溟骨符碎片1,MagicFragmentAtlas,equip_magic_blue_12_01,15102,MagicFragmentBlackAtlas
17029,溟骨符碎片2,MagicFragmentAtlas,equip_magic_blue_12_02,15102,MagicFragmentBlackAtlas
