INDEX,FUNC_NAME,FUNC_OPEN,VIP_SHOW_LEVEL,FUNC_RESOURCE,ICON_ATLAS_NAME_OPEN,SPRITE_NAME_OPEN,ICON_ATLAS_NAME_CLOSE,SPRITE_NAME_CLOSE,FUNC_CLOSE_DESCRIBE,FUNC_CONDITION,FUNC_CONDITION_USE,FUNC_CONDITION_DESCRIBE,FUNC_DISAPPER_DESCRIBE,FUNC_DISAPPER_NUM,TITLE,DESC,ICON_ATLAS_NAME,ICON_SPRITE_NAME,FUNC_SHOW
INT,STRING,INT,STRING,STRING,STRING,STRING,STRING,STRING,STRING,INT,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,INT
100,游戏开启,1,0,0,0,0,0,0,服务器尚未开启，请耐心等待,0,0,0,0,0,游戏开启,游戏开启,ResourceAtlas1,material_tupo,0
101,游戏公告,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,游戏公告,游戏公告,ResourceAtlas1,material_tupo,0
102,平台登录,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,平台登录,平台登录,ResourceAtlas1,material_tupo,0
103,注册账号,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,注册账号,注册账号,ResourceAtlas1,material_tupo,0
104,用户登陆,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,用户登陆,用户登陆,ResourceAtlas1,material_tupo,0
105,快速游戏,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,快速游戏,快速游戏,ResourceAtlas1,material_tupo,0
106,平台切换账号,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,平台切换账号,平台切换账号,ResourceAtlas1,material_tupo,0
107,切换账号,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,切换账号,切换账号,ResourceAtlas1,material_tupo,0
108,服务器选择,1,0,0,0,0,0,0,此版本无法选择服务器,0,0,0,0,0,服务器选择,服务器选择,ResourceAtlas1,material_tupo,0
109,登陆游戏,1,0,0,0,0,0,0,服务器尚未开启，请耐心等待,0,0,0,0,0,登陆游戏,登陆游戏,ResourceAtlas1,material_tupo,0
110,角色选择1,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,角色选择1,角色选择1,ResourceAtlas1,material_tupo,0
111,角色选择2,1,0,0,0,0,0,0,当前角色未开放,0,0,0,0,0,角色选择2,角色选择2,ResourceAtlas1,material_tupo,0
112,角色选择3,1,0,0,0,0,0,0,当前角色未开放,0,0,0,0,0,角色选择3,角色选择3,ResourceAtlas1,material_tupo,0
113,随机名称,1,0,0,0,0,0,0,随机起名功能未开放,0,0,0,0,0,随机名称,随机名称,ResourceAtlas1,material_tupo,0
114,角色创建,1,0,0,0,0,0,0,服务器无法创建角色,0,0,0,0,0,角色创建,角色创建,ResourceAtlas1,material_tupo,0
201,体力购买（主界面上方）,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,体力购买（主界面上方）,体力购买（主界面上方）,ResourceAtlas1,material_tupo,0
202,耐力购买（主界面上方）,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,耐力购买（主界面上方）,耐力购买（主界面上方）,ResourceAtlas1,material_tupo,0
203,金币购买（主界面上方）,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,金币购买（主界面上方）,金币购买（主界面上方）,ResourceAtlas1,material_tupo,0
204,钻石购买（主界面上方）,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,钻石购买（主界面上方）,钻石购买（主界面上方）,ResourceAtlas1,material_tupo,0
300,角色头像,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,角色头像,角色头像,ResourceAtlas1,material_tupo,0
400,排行榜,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,排行榜,排行榜,ResourceAtlas1,material_tupo,0
500,好友,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,好友,好友,ResourceAtlas1,material_tupo,0
600,邮件,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,邮件,邮件,ResourceAtlas1,material_tupo,0
700,队伍,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,队伍,队伍,ResourceAtlas1,material_tupo,0
701,灵将1位置,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,灵将1位置,灵将1位置,ResourceAtlas1,material_tupo,0
702,灵将2位置,1,0,0,0,0,0,0,此版本未开启此功能,1,9|9|9|9|9|9|9|9|9|9|9|9|9,玩家9级开启2号战位,0,0,灵将2位置,主角9级即可召唤两位灵将同时上阵,NewFuncOpenAtlas,a_ui_level_notice_14,0
703,灵将3位置,1,0,0,0,0,0,0,此版本未开启此功能,1,16|16|16|16|16|16|16|16|16|16|16|16|16,玩家16级开启3号战位,0,0,灵将3位置,主角16级即可召唤三位灵将同时上阵,NewFuncOpenAtlas,a_ui_level_notice_15,0
704,缘分站位,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,缘分站位,缘分站位,ResourceAtlas1,material_tupo,0
705,队伍界面-灵将页签,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,队伍界面-灵将页签,队伍界面-灵将页签,ResourceAtlas1,material_tupo,0
706,队伍界面-灵将碎片,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,队伍界面-灵将碎片,队伍界面-灵将碎片,ResourceAtlas1,material_tupo,0
713,更换时装,0,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,更换时装,更换时装,ResourceAtlas1,material_tupo,0
714,一键强化,0,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,一键强化,一键强化,ResourceAtlas1,material_tupo,0
716,强化大师,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,强化大师,强化大师,ResourceAtlas1,material_tupo,0
717,装备精炼,1,0,0,0,0,0,0,此版本未开启此功能,1,30|30|30|30|30|30|30|30|30|30|30|30|30,玩家30级开启精炼,0,0,强化大师,精炼装备品质提升属性,NewFuncOpenAtlas,a_ui_level_notice_09,0
718,神器精炼,1,0,0,0,0,0,0,此版本未开启此功能,1,40|40|40|40|40|40|40|40|40|40|40|40|40,玩家40级开启神器精炼,0,0,强化大师,精炼神器将大幅提升神器品质属性,NewFuncOpenAtlas,a_ui_level_notice_12,0
721,队伍-队伍页签-升级,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,队伍-队伍页签-升级,队伍-队伍页签-升级,ResourceAtlas1,material_tupo,0
722,队伍-队伍页签-突破,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,队伍-队伍页签-突破,队伍-队伍页签-突破,ResourceAtlas1,material_tupo,0
728,队伍-队伍页签-技能升级,1,0,0,0,0,0,0,此版本未开启此功能,1,10|10|10|10|10|10|10|10|10|10|10|10|10,玩家10级开启技能升级,0,0,队伍-队伍页签-技能升级,队伍-队伍页签-技能升级,ResourceAtlas1,material_tupo,0
729,灵将1-装备-武器,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,灵将1-装备-武器,灵将1-装备-武器,ResourceAtlas1,material_tupo,0
730,灵将1-装备-帽子,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,灵将1-装备-帽子,灵将1-装备-帽子,ResourceAtlas1,material_tupo,0
731,灵将1-装备-衣服,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,灵将1-装备-衣服,灵将1-装备-衣服,ResourceAtlas1,material_tupo,0
732,灵将1-装备-项链,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,灵将1-装备-项链,灵将1-装备-项链,ResourceAtlas1,material_tupo,0
733,灵将1-装备-神器,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,灵将1-装备-神器,灵将1-装备-神器,ResourceAtlas1,material_tupo,0
734,灵将1-装备-咒灵,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,灵将1-装备-咒灵,灵将1-装备-咒灵,ResourceAtlas1,material_tupo,0
735,灵将2-装备-武器,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,灵将2-装备-武器,灵将2-装备-武器,ResourceAtlas1,material_tupo,0
736,灵将2-装备-帽子,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,灵将2-装备-帽子,灵将2-装备-帽子,ResourceAtlas1,material_tupo,0
737,灵将2-装备-衣服,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,灵将2-装备-衣服,灵将2-装备-衣服,ResourceAtlas1,material_tupo,0
738,灵将2-装备-项链,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,灵将2-装备-项链,灵将2-装备-项链,ResourceAtlas1,material_tupo,0
739,灵将2-装备-神器,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,灵将2-装备-神器,灵将2-装备-神器,ResourceAtlas1,material_tupo,0
740,灵将2-装备-咒灵,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,灵将2-装备-咒灵,灵将2-装备-咒灵,ResourceAtlas1,material_tupo,0
741,灵将3-装备-武器,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,灵将3-装备-武器,灵将3-装备-武器,ResourceAtlas1,material_tupo,0
742,灵将3-装备-帽子,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,灵将3-装备-帽子,灵将3-装备-帽子,ResourceAtlas1,material_tupo,0
743,灵将3-装备-衣服,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,灵将3-装备-衣服,灵将3-装备-衣服,ResourceAtlas1,material_tupo,0
744,灵将3-装备-项链,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,灵将3-装备-项链,灵将3-装备-项链,ResourceAtlas1,material_tupo,0
745,灵将3-装备-神器,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,灵将3-装备-神器,灵将3-装备-神器,ResourceAtlas1,material_tupo,0
746,灵将3-装备-咒灵,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,灵将3-装备-咒灵,灵将3-装备-咒灵,ResourceAtlas1,material_tupo,0
747,灵将3-装备-武器,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,灵将3-装备-武器,灵将3-装备-武器,ResourceAtlas1,material_tupo,0
748,灵将3-装备-帽子,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,灵将3-装备-帽子,灵将3-装备-帽子,ResourceAtlas1,material_tupo,0
749,灵将3-装备-衣服,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,灵将3-装备-衣服,灵将3-装备-衣服,ResourceAtlas1,material_tupo,0
750,灵将3-装备-项链,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,灵将3-装备-项链,灵将3-装备-项链,ResourceAtlas1,material_tupo,0
751,灵将3-装备-神器,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,灵将3-装备-神器,灵将3-装备-神器,ResourceAtlas1,material_tupo,0
752,灵将3-装备-咒灵,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,灵将3-装备-咒灵,灵将3-装备-咒灵,ResourceAtlas1,material_tupo,0
753,灵将1-装备-换灵,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,灵将1-装备-换灵,灵将1-装备-换灵,ResourceAtlas1,material_tupo,0
754,灵将2-装备-换灵,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,灵将2-装备-换灵,灵将2-装备-换灵,ResourceAtlas1,material_tupo,0
755,灵将3-装备-换灵,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,灵将3-装备-换灵,灵将3-装备-换灵,ResourceAtlas1,material_tupo,0
756,灵将界面-出售,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,灵将界面-出售,灵将界面-出售,ResourceAtlas1,material_tupo,0
757,灵将界面-灵将位置购买,1,0,0,0,0,0,0,此版本未开启此功能,0,0,1,0,0,灵将界面-灵将位置购买,灵将界面-灵将位置购买,ResourceAtlas1,material_tupo,0
758,灵将碎片界面-出售,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,灵将碎片界面-出售,灵将碎片界面-出售,ResourceAtlas1,material_tupo,0
759,角色界面-装备-精炼,1,0,0,0,0,0,0,此版本未开启此功能,1,30|30|30|30|30|30|30|30|30|30|30|30|30,玩家30级开启装备精炼,0,0,角色界面-装备-精炼,角色界面-装备-精炼,NewFuncOpenAtlas,a_ui_level_notice_09,0
760,角色界面-神器-精炼,1,0,0,0,0,0,0,此版本未开启此功能,1,40|40|40|40|40|40|40|40|40|40|40|40|40,玩家40级开启神器精炼,0,0,角色界面-神器-精炼,角色界面-神器-精炼,NewFuncOpenAtlas,a_ui_level_notice_12,0
761,角色界面-装备-强化-精炼,1,0,0,0,0,0,0,此版本未开启此功能,1,30|30|30|30|30|30|30|30|30|30|30|30|30,玩家30级开启装备精炼,0,0,角色界面-装备-强化-精炼,角色界面-装备-强化-精炼,NewFuncOpenAtlas,a_ui_level_notice_09,0
762,角色界面-神器-强化-精炼,1,0,0,0,0,0,0,此版本未开启此功能,1,40|40|40|40|40|40|40|40|40|40|40|40|40,玩家40级开启神器精炼,0,0,角色界面-神器-强化-精炼,角色界面-神器-强化-精炼,NewFuncOpenAtlas,a_ui_level_notice_12,0
763,角色界面-突破-技能,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,角色界面-神器-强化-精炼,角色界面-神器-强化-精炼,ResourceAtlas1,material_tupo,0
764,强化5次,1,0,0,0,0,0,0,此版本未开启此功能,1,10|10|10|10|10|10|10|10|10|10|10|10|10,玩家10级开启强化5次,0,0,角色界面-装备-强化-强化5次,角色界面-装备-强化-强化5次,ResourceAtlas1,material_tupo,0
800,背包功能,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,背包功能,背包功能,ResourceAtlas1,material_tupo,0
900,宗门,1,0,0,0,0,0,0,此版本未开启此功能,1,37|37|37|37|37|37|37|37|37|37|37|37|37,玩家37级开启宗门,0,0,宗门,加入宗门挑战BOSS获得贡献宝箱,NewFuncOpenAtlas,a_ui_level_notice_10,1
1000,回收,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,回收,回收,NewFuncOpenAtlas,a_ui_level_notice_05,0
1100,装备,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,装备,装备,NewFuncOpenAtlas,a_ui_level_notice_03,0
1101,装备-出售,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,装备,装备,ResourceAtlas1,material_tupo,0
1102,装备碎片-出售,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,装备,装备,ResourceAtlas1,material_tupo,0
1103,神器-出售,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,装备,装备,ResourceAtlas1,material_tupo,0
1104,装备-购买位置,1,0,0,0,0,0,0,此版本未开启此功能,0,0,1,0,0,装备,装备,ResourceAtlas2,material_tupo,0
1200,星相,1,0,0,0,0,0,0,此版本未开启此功能,1,13|13|13|13|13|13|13|13|13|13|13|13|13,玩家13级开启星相,0,0,星相,点亮星相提升主角品质,NewFuncOpenAtlas,a_ui_level_notice_04,1
1300,图鉴,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,图鉴,图鉴,ResourceAtlas1,material_tupo,0
1400,历练,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,历练,历练,ResourceAtlas1,material_tupo,0
1401,天魔降临,1,0,map_boss_list,townbtnUIAtlas,a_ui_lilianditu_01,townLockBtnUIAtlas,a_ui_lilianditu_01_lock,此版本未开启此功能,1,35|35|35|35|35|35|35|35|35|35|35|35|35,玩家35级开启天魔降临,0,0,天魔降临,消灭天魔夺得魔麟兑换天命石,NewFuncOpenAtlas,a_ui_level_notice_13,0
1402,封灵塔,1,0,rammbock_enter_PVPBtn,townbtnUIAtlas,a_ui_lilianditu_02,townLockBtnUIAtlas,a_ui_lilianditu_02_lock,此版本未开启此功能,1,22|22|22|22|22|22|22|22|22|22|22|22|22,玩家22级开启封灵塔,0,0,封灵塔,挑战封灵塔兑换各式装备,NewFuncOpenAtlas,a_ui_level_notice_07,1
1403,夺宝之战,1,0,grabtreasure_enter_PVPBtn,townbtnUIAtlas,a_ui_lilianditu_03,townLockBtnUIAtlas,a_ui_lilianditu_03_lock,此版本未开启此功能,1,15|15|15|15|15|15|15|15|15|15|15|15|15,玩家15级开启夺宝之战,0,0,夺宝之战,夺得碎片合成神器提升战斗力,NewFuncOpenAtlas,a_ui_level_notice_01,1
1404,镇妖,1,0,fairyland_enter_PVEBtn,townbtnUIAtlas,a_ui_lilianditu_04,townLockBtnUIAtlas,a_ui_lilianditu_04_lock,此版本未开启此功能,1,31|31|31|31|31|31|31|31|31|31|31|31|31,玩家31级开启镇妖,0,0,镇妖,镇压妖魔获得丰厚奖励,NewFuncOpenAtlas,a_ui_level_notice_11,1
1405,竞技场,1,0,peak_pvp_enter_PVPBtn,townbtnUIAtlas,a_ui_lilianditu_05,townLockBtnUIAtlas,a_ui_lilianditu_05_lock,此版本未开启此功能,1,10|10|10|10|10|10|10|10|10|10|10|10|10,玩家10级开启竞技场,0,0,竞技场,提升名次获得排名奖励,NewFuncOpenAtlas,a_ui_level_notice_02,1
1406,竞技场机器人-战5次,1,20|20|20|20|20|20|20|20|20|20|20|20|20,0,0,0,0,0,0,1,55|55|55|55|0|0|0|0|0|0|0|0|0,玩家55级或者V4开启竞技场战5次,0,0,0,0,0,0,0
1407,爬塔一键三星,1,35|35|35|35|35|35|35|35|35|35|35|35|35,0,0,0,0,0,0,1,60|60|60|60|60|0|0|0|0|0|0|0|0,玩家60级或者V5开启爬塔一键三星,0,0,0,0,0,0,0
1500,闯荡,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,闯荡,闯荡,ResourceAtlas1,material_tupo,0
1501,难度选择,0,0,0,0,0,0,0,此版本不可改变副本难度,0,0,0,0,0,难度选择,难度选择,ResourceAtlas1,material_tupo,0
1502,每日副本,1,0,0,0,0,0,0,此版本未开启此功能,1,26|26|26|26|26|26|26|26|26|26|26|26|26,玩家26级开启每日副本,0,0,每日副本,通关副本获得养成资源,NewFuncOpenAtlas,a_ui_level_notice_08,0
1503,天魔降临,1,0,0,0,0,0,0,此版本未开启此功能,0,35|35|35|35|35|35|35|35|35|35|35|35|35,玩家35级开启天魔降临,0,0,天魔降临,天魔降临,NewFuncOpenAtlas,a_ui_level_notice_13,0
1504,困难难度,1,0,0,0,0,0,0,此版本未开启此功能,0,30|30|30|30|30|30|30|30|30|30|30|30|30,玩家30级开启困难难度,0,0,困难难度,困难难度,ResourceAtlas1,material_tupo,0
1505,扫荡1次,1,0,0,0,0,0,0,此版本未开启扫荡1次,1,16|16|16|16|16|16|16|16|16|16|16|16|16,16级可开启扫荡,0,0,扫荡1次,扫荡1次,ResourceAtlas1,material_tupo,0
1506,扫荡10次,1,0,0,0,0,0,0,此版本未开启扫荡10次,1,16|16|16|16|16|16|16|16|16|16|16|16|16,16级可开启扫荡,0,0,扫荡10次,累积获得关卡经验和各式奖励,NewFuncOpenAtlas,a_ui_level_notice_06,0
1507,普通难度,1,0,0,0,0,0,0,此版本未开启此功能,1,28|28|28|28|28|28|28|28|28|28|28|28|28,玩家28级开启困难难度,0,0,普通难度,普通难度,ResourceAtlas1,material_tupo,0
1508,关卡任务-困难,0,0,0,0,0,0,0,普通难度暂未开启,1,28|28|28|28|28|28|28|28|28|28|28|28|28,玩家28级开启关卡任务-困难,0,0,普通难度,普通难度,ResourceAtlas1,material_tupo,0
1600,任务,1,0,0,0,0,0,0,此版本未开启此功能,0,0,0,0,0,任务,任务,ResourceAtlas1,material_tupo,0
