INDEX,TAB_ID,TAB_NAME,ITEM_ID,ITEM_NUM,ITEM_SHOW_LEVEL,COST_TYPE_1,COST_NUM_1,COST_TYPE_2,COST_NUM_2,BUY_NUM,REFRESH_BYDAY,MAX_ITEM_NUM,OPEN_GUILD_LEVEL
INT,INT,STRING,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT
801001,1,道具,1000002,100000,120,1000009,1000,0,0,5,1,0,1
801002,1,道具,2000008,50,0,1000009,1500,0,0,5,1,0,1
801003,1,道具,2000002,50,0,1000009,500,0,0,10,1,0,1
801004,1,道具,30305,1,0,1000009,500,0,0,5,1,0,1
801005,1,道具,2000203,1,40,1000009,30000,1000001,2000,5,1,0,1
803001,3,限时,2000206,1,0,1000009,300,0,0,1,0,10,0
803002,3,限时,2000207,1,0,1000009,500,0,0,1,0,10,2
803003,3,限时,2000208,1,0,1000009,1000,0,0,1,0,10,3
803004,3,限时,2000209,1,0,1000009,100,0,0,1,0,10,0
803005,3,限时,2000210,1,0,1000009,300,0,0,1,0,10,0
803006,3,限时,2000211,1,0,1000009,500,0,0,1,0,10,0
803007,3,限时,2000002,100,0,1000009,0,1000001,80,1,0,10,0
803008,3,限时,2000002,200,0,1000009,0,1000001,180,1,0,10,0
803009,3,限时,2000002,300,0,1000009,0,1000001,240,1,0,10,0
803010,3,限时,2000002,500,0,1000009,0,1000001,400,1,0,10,0
803011,3,限时,30305,1,0,1000009,0,1000001,18,1,0,10,0
803012,3,限时,30305,2,0,1000009,0,1000001,36,1,0,10,0
803013,3,限时,1000002,100000,0,1000009,800,0,0,1,0,10,0
803014,3,限时,1000002,200000,0,1000009,1600,0,0,1,0,10,0
803015,3,限时,1000002,300000,0,1000009,2400,0,0,1,0,10,0
803016,3,限时,40093,10,0,1000009,0,1000001,225,1,0,4,0
803017,3,限时,40095,10,0,1000009,0,1000001,225,1,0,4,0
803018,3,限时,40096,10,0,1000009,0,1000001,225,1,0,4,0
803019,3,限时,40099,10,0,1000009,0,1000001,225,1,0,4,0
803020,3,限时,40100,10,0,1000009,0,1000001,225,1,0,4,0
803021,3,限时,40104,10,0,1000009,0,1000001,225,1,0,4,0
803022,3,限时,40105,10,0,1000009,0,1000001,225,1,0,4,0
803023,3,限时,40115,10,0,1000009,0,1000001,225,1,0,4,0
803024,3,限时,40116,10,0,1000009,0,1000001,225,1,0,4,0
803025,3,限时,40117,10,0,1000009,0,1000001,225,1,0,4,0
803026,3,限时,40118,10,0,1000009,0,1000001,225,1,0,4,0
803027,3,限时,40098,10,0,1000009,0,1000001,225,1,0,4,0
803028,3,限时,40101,10,0,1000009,0,1000001,225,1,0,4,0
803029,3,限时,40102,10,0,1000009,0,1000001,225,1,0,4,0
803030,3,限时,40103,10,0,1000009,0,1000001,225,1,0,4,0
803031,3,限时,40106,10,0,1000009,0,1000001,225,1,0,4,0
803032,3,限时,40108,10,0,1000009,0,1000001,225,1,0,4,0
803033,3,限时,40112,10,0,1000009,0,1000001,225,1,0,4,0
803034,3,限时,40113,10,0,1000009,0,1000001,225,1,0,4,0
803035,3,限时,40075,10,0,1000009,0,1000001,225,1,0,4,0
804001,4,奖励,2000207,1,0,1000009,500,0,0,1,0,0,1
804002,4,奖励,2000208,1,0,1000009,1000,0,0,1,0,0,2
804003,4,奖励,2000003,100,0,1000009,500,0,0,1,0,0,3
804004,4,奖励,1000002,1000000,120,1000009,1000,0,0,1,0,0,4
804005,4,奖励,14108,1,0,1000009,4000,0,0,1,0,0,5
804006,4,奖励,1000001,1000,0,1000009,1000,0,0,1,0,0,6
