INDEX,DAY,PAGE,PAGENAME,TYPE,TASK_TIP,NUMBER,REWARD,PRICE,SERVER_LIMIT
INT,INT,INT,STRING,INT,STRING,INT,STRING,STRING,INT
1,1,1,每日福利,1,今日登录赠送,1,2000013#1|1000001#100,0,0
2,1,1,每日福利,11,累计充值100元,10000,2000013#10|2000203#1,0,0
3,2,1,每日福利,1,今日登录赠送,1,1000001#150|2000205#1,0,0
4,2,1,每日福利,11,累计充值200元,20000,2000014#5|2000205#10,0,0
5,3,1,每日福利,1,今日登录赠送,1,1000001#200|2000004#50,0,0
6,3,1,每日福利,11,累计充值300元,30000,2000204#10|2000007#20,0,0
7,4,1,每日福利,1,今日登录赠送,1,1000001#250|2000001#30,0,0
8,4,1,每日福利,11,累计充值500元,50000,2000001#150|2000015#10|2000013#10,0,0
9,5,1,每日福利,1,今日登录赠送,1,1000001#300|2000018#30,0,0
10,5,1,每日福利,11,累计充值1000元,100000,1000004#2000|2000018#100,0,0
11,6,1,每日福利,1,今日登录赠送,1,1000001#400|2000003#50,0,0
12,6,1,每日福利,11,累计充值1500元,150000,2000204#10|2000003#500,0,0
13,7,1,每日福利,1,今日登录赠送,1,1000001#500|2000013#2|2000014#2,0,0
14,7,1,每日福利,1,登录领取橙色防御灵将四选一,1,2000219#1,0,0
15,7,1,每日福利,11,累计充值2000元,200000,14009#1|1000002#1500000,0,0
16,7,1,每日福利,11,累计充值3000元,300000,14309#1|1000002#2000000,0,0
17,7,1,每日福利,11,累计充值4000元,400000,14209#1|1000002#2500000,0,0
18,7,1,每日福利,11,累计充值5000元,500000,14109#1|1000002#3000000,0,0
19,1,2,主线副本,2,主线通关第3章,3,14201#1,0,0
20,1,2,主线副本,2,主线通关第5章,5,30305#3|2000013#2,0,0
21,1,2,主线副本,2,主线通关第7章,7,1000002#50000,0,0
22,1,2,主线副本,2,主线通关第9章,9,1000002#100000,0,0
23,1,2,主线副本,2,主线通关第11章,11,1000002#150000,0,0
24,1,2,主线副本,2,主线通关第13章,13,1000002#200000,0,0
25,1,2,主线副本,2,主线通关第15章,15,1000002#200000,0,0
26,1,2,主线副本,2,主线通关第17章,17,30305#5,0,0
27,1,2,主线副本,2,主线通关第19章,19,1000002#250000,0,0
28,1,2,主线副本,3,等级达到20级,20,30305#3|1000004#100,0,0
29,1,2,主线副本,3,等级达到25级,25,30305#3|1000004#150,0,0
30,1,2,主线副本,3,等级达到30级,30,30305#5|1000004#200,0,0
31,1,2,主线副本,3,等级达到35级,35,30305#5|1000004#250,0,0
32,1,3,装备强化,4,上阵队伍全部6件绿装及以上,1,1000002#20000,0,0
33,1,3,装备强化,5,全部装备强化到30级,30,1000002#80000,0,0
34,1,3,装备强化,5,全部装备强化到40级,40,1000002#120000,0,0
35,1,3,装备强化,5,全部装备强化到50级,50,1000002#200000,0,0
36,1,3,装备强化,5,全部装备强化到60级,60,1000002#250000,0,0
37,2,2,竞技场,6,竞技场排名到达第1名,1,2000008#80,0,0
38,2,2,竞技场,6,竞技场排名到达第5名,5,2000008#50,0,0
39,2,2,竞技场,6,竞技场排名到达第20名,20,2000008#40,0,0
40,2,2,竞技场,6,竞技场排名到达第50名,50,2000008#30,0,0
41,2,2,竞技场,6,竞技场排名到达第100名,100,2000008#25,0,0
42,2,2,竞技场,6,竞技场排名到达第500名,500,2000008#20,0,0
43,2,2,竞技场,6,竞技场排名到达第1000名,1000,2000008#15,0,0
44,2,2,竞技场,6,竞技场排名到达第3000名,3000,2000008#10,0,0
45,2,3,神器合成,16,神器合成10次,10,2000205#1,0,0
46,2,3,神器合成,16,神器合成20次,20,2000014#4,0,0
47,2,3,神器合成,22,紫色神器合成5次,5,2000205#2,0,0
48,2,3,神器合成,22,紫色神器合成10次,10,2000014#8,0,0
49,2,3,神器合成,23,橙色神器合成5次,5,2000205#3,0,0
50,2,3,神器合成,23,橙色神器合成10次,10,2000014#10,0,0
51,3,2,封灵塔,29,封灵塔重置3次,3,2000214#2,0,0
52,3,2,封灵塔,21,封灵塔最高排名达到第1名,1,2000214#3,0,0
53,3,2,封灵塔,21,封灵塔最高排名达到第3名,3,2000214#2,0,0
54,3,2,封灵塔,21,封灵塔最高排名达到第10名,10,2000214#1,0,0
55,3,2,封灵塔,21,封灵塔最高排名达到第50名,50,2000214#1,0,0
56,3,3,装备精炼,8,上阵灵将穿戴16件装备精炼等级到达1级,1,2000004#50,0,0
57,3,3,装备精炼,8,上阵灵将穿戴16件装备精炼等级到达2级,2,2000005#50,0,0
58,3,3,装备精炼,8,上阵灵将穿戴16件装备精炼等级到达3级,3,2000006#30,0,0
59,3,3,装备精炼,8,上阵灵将穿戴16件装备精炼等级到达4级,4,2000007#30,0,0
60,3,3,装备精炼,8,上阵灵将穿戴16件装备精炼等级到达5级,5,2000007#40,0,0
61,3,3,装备精炼,8,上阵灵将穿戴16件装备精炼等级到达6级,6,2000007#50,0,0
62,3,3,装备精炼,12,穿戴装备最高精炼等级达到3级,3,2000006#30,0,0
63,3,3,装备精炼,12,穿戴装备最高精炼等级达到5级,5,2000007#30,0,0
64,3,3,装备精炼,12,穿戴装备最高精炼等级达到7级,7,2000007#50,0,0
65,3,3,装备精炼,12,穿戴装备最高精炼等级达到10级,10,2000007#80,0,0
66,4,2,灵将天命,31,所有上阵灵将天命等级到达2级,2,2000001#50,0,0
67,4,2,灵将天命,31,所有上阵灵将天命等级到达3级,3,2000001#100,0,0
68,4,2,灵将天命,31,所有上阵灵将天命等级到达4级,4,2000001#200,0,0
69,4,2,灵将天命,31,所有上阵灵将天命等级到达5级,5,2000001#400,0,0
70,4,2,灵将天命,31,所有上阵灵将天命等级到达6级,6,2000001#600,0,0
71,4,2,灵将天命,32,上阵灵将中天命最高等级到达4级,4,2000001#200,0,0
72,4,2,灵将天命,32,上阵灵将中天命最高等级到达5级,5,2000001#300,0,0
73,4,2,灵将天命,32,上阵灵将中天命最高等级到达6级,6,2000001#400,0,0
