INDEX,COST,NUMBER
INT,STRING,STRING
1,20,22#50|23#45|24#40|25#35|26#30|30#25
2,100,110#50|115#45|120#40|125#35|130#30|150#25
3,300,330#50|345#45|360#40|375#35|390#30|450#25
4,500,550#50|575#45|600#40|625#35|650#30|750#25
5,1000,1100#50|1150#45|1200#40|1250#35|1300#30|1500#25
6,3000,3300#50|3450#45|3600#40|3750#35|3900#30|4500#25
7,5000,5500#50|5750#45|6000#40|6250#35|6500#30|7500#25
8,10000,11000#50|11500#45|12000#40|12500#35|13000#30|15000#25
9,30000,33000#50|34500#45|36000#40|37500#35|39000#30|45000#25
10,50000,55000#50|57500#45|60000#40|62500#35|65000#30|75000#25
11,100000,110000#50|115000#45|120000#40|125000#35|130000#30|150000#25
