INDEX,FUNC_ID,DESC,STRING_HELP
INT,STRING,STRING,STRING
1,HELP_LUCKCARD,翻牌帮助,1、每一次翻牌都将获得丰厚的元宝奖励呢~！\n2、玩家每日可免费获得一定次数的翻牌机会、\n3、每天都来试试手气吧~
2,HELP_FRIEND,好友帮助,1、同意好友申请后，对方将自动添加到我的好友列表中、\n2、本人好友满员后将不可再发送好友申请，也不可同意他人申请通过、\n3、申请列表中的申请方好友满员后，将无法同意申请通过、\n4、每天可向自己好友列表中的所有好友赠送1点精力值，每天每人限1次、
3,HELP_TASK,任务帮助,1、日常任务积分为当日积分累计，将在每日凌晨零点更新、\n2、累计积分越高，宝箱奖励越丰厚、\n3、提升等级可激活更多成就任务和日常任务、
4,HELP_LEAD,主角帮助,1、激活星相可提升角色品质、\n
5,HELP_TEAM,队伍帮助,1、达到8级可上阵第二灵将；16级可上阵第三灵将、\n2、佩戴套装将获得套装属性、\n3、达到15级可佩戴神器，神器将极大提升战力和各项属性、\n4、上阵灵将、装备、神器均可以激活相应缘分，激活缘分越多，提升越高、\n5、每一次突破均可获得一项天赋、\n6、达到35级可领悟天道，天道需天道石激活，激活天道后可大幅提升属性、
6,HELP_UNION,宗门帮助,1、可以通过宗门频道联系同宗好友、\n2、宗门贡献可通过祭祀（捐款）获得，每天可祭祀一次、\n3、宗门当日祭祀贡献每日凌晨零点更新、\n4、宗门商铺每日9点、12点、18点、21点刷新、
7,HELP_STAR,星相帮助,1、通关可获得星相石碎片、\n2、特殊关卡可获得星相石碎片、\n3、完成相应任务可获得星相石碎片、
8,HELP_SKY,天魔帮助,1、闯荡关卡会随机触发天魔降临、\n2、挑战天魔时，消耗降魔令可提升攻击力，并获得更高战绩、\n 3、帮助好友战胜天魔，获得奖励相同、\n4、突破可提升对天魔的伤害、
10,HELP_GUILDBOSS,宗门boss,1、每天16:00-22:00可挑战宗门BOSS、\n2、玩家每日默认可攻击BOSS5次，后续可花费元宝购买BOSS攻击次数、\n3、击杀BOSS者可获得击杀奖励、\n4、宗门击杀BOSS可获得宗门经验，提升宗门等级、
11,HELP_ATHLETICS,竞技场帮助,1、竞技场战斗自动进行，玩家不能手动操作，不能手动释放技能、\n2、竞技场挑战胜利后，如果被挑战者排名高于挑战者，则双方互换排名、\n3、战斗超时算进攻方失败、\n4、每次挑战需消耗2点精力，精力可通过时间回复，也可以通过精力丹回复、\n5、挑战榜前1000名（包含1000名）的玩家可获得丰厚奖励、6、奖励于每日晚上22点，根据竞技场排名进行发放、\n7、越高排名的玩家获得的奖励越多、\n
12,HELP_RECOVER,回收帮助,1、回收可以回收所有可以回收单位所消耗的升级资源、\n2、回收之后就无法撤销、\n3、当经验不足以产生经验蛋或者经验神器时，多余的经验部分将被舍弃、
