INDEX,CONDITION,DRAW_WEIGHT_CHANGE,BOX_WEIGHT_CHANGE,REFRESH_WEIGHT_CHANGE
INT,STRING,STRING,STRING,STRING
1,pet_quality=5#min=0#max=0#min_draw_time=0#max_draw_time=1,,group_id=90007#drop_id=30105#weight=-999|group_id=90007#drop_id=30110#weight=-999|group_id=90007#drop_id=30115#weight=-999|group_id=90007#drop_id=30094#weight=-999|group_id=90007#drop_id=30111#weight=-999,0
2,pet_quality=5#min=0#max=0#min_draw_time=1#max_draw_time=10,group_id=90006#drop_id=30105#weight=-999|group_id=90006#drop_id=30110#weight=-999|group_id=90006#drop_id=30115#weight=-999|group_id=90006#drop_id=30094#weight=-999|group_id=90006#drop_id=30111#weight=-999,,0
3,pet_id=30098#min=1#max=1#min_draw_time=1#max_draw_time=10,,group_id=90007#drop_id=30098#weight=-999|group_id=90007#drop_id=30105#weight=-999|group_id=90007#drop_id=30110#weight=-999|group_id=90007#drop_id=30115#weight=-999|group_id=90007#drop_id=30094#weight=-999|group_id=90007#drop_id=30111#weight=-999,0
4,pet_id=30116#min=1#max=1#min_draw_time=1#max_draw_time=10,,group_id=90007#drop_id=30116#weight=-999|group_id=90007#drop_id=30105#weight=-999|group_id=90007#drop_id=30110#weight=-999|group_id=90007#drop_id=30115#weight=-999|group_id=90007#drop_id=30094#weight=-999|group_id=90007#drop_id=30111#weight=-999,0
5,pet_id=30097#min=1#max=1#min_draw_time=1#max_draw_time=10,,group_id=90007#drop_id=30097#weight=-999|group_id=90007#drop_id=30105#weight=-999|group_id=90007#drop_id=30110#weight=-999|group_id=90007#drop_id=30115#weight=-999|group_id=90007#drop_id=30094#weight=-999|group_id=90007#drop_id=30111#weight=-999,0
6,pet_id=30095#min=1#max=1#min_draw_time=1#max_draw_time=10,,group_id=90007#drop_id=30095#weight=-999|group_id=90007#drop_id=30105#weight=-999|group_id=90007#drop_id=30110#weight=-999|group_id=90007#drop_id=30115#weight=-999|group_id=90007#drop_id=30094#weight=-999|group_id=90007#drop_id=30111#weight=-999,0
7,pet_id=30102#min=1#max=1#min_draw_time=1#max_draw_time=10,,group_id=90007#drop_id=30102#weight=-999|group_id=90007#drop_id=30105#weight=-999|group_id=90007#drop_id=30110#weight=-999|group_id=90007#drop_id=30115#weight=-999|group_id=90007#drop_id=30094#weight=-999|group_id=90007#drop_id=30111#weight=-999,0
8,pet_id=30108#min=1#max=1#min_draw_time=1#max_draw_time=10,,group_id=90007#drop_id=30108#weight=-999|group_id=90007#drop_id=30105#weight=-999|group_id=90007#drop_id=30110#weight=-999|group_id=90007#drop_id=30115#weight=-999|group_id=90007#drop_id=30094#weight=-999|group_id=90007#drop_id=30111#weight=-999,0
9,pet_id=30096#min=1#max=1#min_draw_time=1#max_draw_time=10,,group_id=90007#drop_id=30096#weight=-999|group_id=90007#drop_id=30105#weight=-999|group_id=90007#drop_id=30110#weight=-999|group_id=90007#drop_id=30115#weight=-999|group_id=90007#drop_id=30094#weight=-999|group_id=90007#drop_id=30111#weight=-999,0
10,pet_id=30112#min=1#max=1#min_draw_time=1#max_draw_time=10,,group_id=90007#drop_id=30112#weight=-999|group_id=90007#drop_id=30105#weight=-999|group_id=90007#drop_id=30110#weight=-999|group_id=90007#drop_id=30115#weight=-999|group_id=90007#drop_id=30094#weight=-999|group_id=90007#drop_id=30111#weight=-999,0
11,pet_id=30101#min=1#max=1#min_draw_time=1#max_draw_time=10,,group_id=90007#drop_id=30101#weight=-999|group_id=90007#drop_id=30105#weight=-999|group_id=90007#drop_id=30110#weight=-999|group_id=90007#drop_id=30115#weight=-999|group_id=90007#drop_id=30094#weight=-999|group_id=90007#drop_id=30111#weight=-999,0
12,pet_id=30106#min=1#max=1#min_draw_time=1#max_draw_time=10,,group_id=90007#drop_id=30106#weight=-999|group_id=90007#drop_id=30105#weight=-999|group_id=90007#drop_id=30110#weight=-999|group_id=90007#drop_id=30115#weight=-999|group_id=90007#drop_id=30094#weight=-999|group_id=90007#drop_id=30111#weight=-999,0
13,pet_id=30103#min=1#max=1#min_draw_time=1#max_draw_time=10,,group_id=90007#drop_id=30103#weight=-999|group_id=90007#drop_id=30105#weight=-999|group_id=90007#drop_id=30110#weight=-999|group_id=90007#drop_id=30115#weight=-999|group_id=90007#drop_id=30094#weight=-999|group_id=90007#drop_id=30111#weight=-999,0
14,pet_id=30093#min=1#max=1#min_draw_time=1#max_draw_time=10,,group_id=90007#drop_id=30093#weight=-999|group_id=90007#drop_id=30105#weight=-999|group_id=90007#drop_id=30110#weight=-999|group_id=90007#drop_id=30115#weight=-999|group_id=90007#drop_id=30094#weight=-999|group_id=90007#drop_id=30111#weight=-999|group_id=90007#drop_id=30118#weight=-999|group_id=90007#drop_id=30075#weight=-999,0
15,pet_id=30118#min=1#max=1#min_draw_time=1#max_draw_time=10,,group_id=90007#drop_id=30118#weight=-999|group_id=90007#drop_id=30105#weight=-999|group_id=90007#drop_id=30110#weight=-999|group_id=90007#drop_id=30115#weight=-999|group_id=90007#drop_id=30094#weight=-999|group_id=90007#drop_id=30111#weight=-999|group_id=90007#drop_id=30093#weight=-999|group_id=90007#drop_id=30075#weight=-999,0
16,pet_id=30113#min=1#max=1#min_draw_time=1#max_draw_time=10,,group_id=90007#drop_id=30113#weight=-999|group_id=90007#drop_id=30105#weight=-999|group_id=90007#drop_id=30110#weight=-999|group_id=90007#drop_id=30115#weight=-999|group_id=90007#drop_id=30094#weight=-999|group_id=90007#drop_id=30111#weight=-999,0
17,pet_id=30075#min=1#max=1#min_draw_time=1#max_draw_time=10,,group_id=90007#drop_id=30075#weight=-999|group_id=90007#drop_id=30105#weight=-999|group_id=90007#drop_id=30110#weight=-999|group_id=90007#drop_id=30115#weight=-999|group_id=90007#drop_id=30094#weight=-999|group_id=90007#drop_id=30111#weight=-999|group_id=90007#drop_id=30093#weight=-999|group_id=90007#drop_id=30118#weight=-999,0
18,pet_id=30098#min=1#max=1#min_draw_time=1#max_draw_time=10,group_id=90006#drop_id=30098#weight=-999|group_id=90006#drop_id=30105#weight=-999|group_id=90006#drop_id=30110#weight=-999|group_id=90006#drop_id=30115#weight=-999|group_id=90006#drop_id=30094#weight=-999|group_id=90006#drop_id=30111#weight=-999,,0
19,pet_id=30116#min=1#max=1#min_draw_time=1#max_draw_time=10,group_id=90006#drop_id=30116#weight=-999|group_id=90006#drop_id=30105#weight=-999|group_id=90006#drop_id=30110#weight=-999|group_id=90006#drop_id=30115#weight=-999|group_id=90006#drop_id=30094#weight=-999|group_id=90006#drop_id=30111#weight=-999,,0
20,pet_id=30097#min=1#max=1#min_draw_time=1#max_draw_time=10,group_id=90006#drop_id=30097#weight=-999|group_id=90006#drop_id=30105#weight=-999|group_id=90006#drop_id=30110#weight=-999|group_id=90006#drop_id=30115#weight=-999|group_id=90006#drop_id=30094#weight=-999|group_id=90006#drop_id=30111#weight=-999,,0
