INT,INT,INT,INT,INT,INT
INDEX,IDLE_DROP,IDLE_TIME,DROPTIME_RATE_1,DROPTIME_RATE_2,DROPTIME_RATE_3
,对应掉落组,对应挂机时间,,,
1001,91001,300,100,0,0
1002,91001,600,100,100,0
1003,91001,1800,100,100,50
1004,91001,3600,100,100,50
1005,91001,5400,100,100,50
1006,91001,7200,100,100,50
1007,91001,12000,100,100,50
1008,91001,15600,100,100,50
1009,91001,19200,100,100,50
1010,91001,22800,100,100,50
1011,91001,25200,100,100,50
1012,91001,25200,100,100,50
1013,91001,28800,100,100,50
1014,91001,28800,100,100,50
1015,91001,32400,100,100,50
1016,91001,32400,100,100,50
1017,91001,36000,100,100,50
1018,91001,36000,100,100,50
1019,91001,39600,100,100,50
1020,91001,39600,100,100,50
1021,91001,39600,100,100,50
1022,91001,39600,100,100,50
1023,91001,39600,100,100,50
1024,91001,43200,100,100,50
1025,91001,43200,100,100,50
1026,91001,43200,100,100,50
1027,91001,43200,100,100,50
1028,91001,43200,100,100,50
1029,91001,43200,100,100,50
1030,91001,43200,100,100,50
