INT,STRING,STRING,STRING,STRING,INT
INDEX,NAME,ICON_ATLAS_NAME,ICON_SPRITE_NAME,DESCRIPTION,GET_WAY_INDEX
0,道具名称,图标集,图标,描述,获得方式索引
110121,紫云障4星图谱,MaterialAtlas,material_fqtz_01,合成所需要的图纸,
110221,雪魂钟4星图谱,MaterialAtlas,material_fqtz_03,合成所需要的图纸,
110321,金乌神鼓4星图谱,MaterialAtlas,material_fqtz_05,合成所需要的图纸,
110421,天火灵幡4星图谱,MaterialAtlas,material_fqtz_07,合成所需要的图纸,
110521,神木塔4星图谱,MaterialAtlas,material_fqtz_09,合成所需要的图纸,
110621,冰魄寒光卷4星图谱,MaterialAtlas,material_fqtz_11,合成所需要的图纸,
110721,修罗盘4星图谱,MaterialAtlas,material_fqtz_13,合成所需要的图纸,
110821,五火神雷伞4星图谱,MaterialAtlas,material_fqtz_15,合成所需要的图纸,
110921,玄女琴4星图谱,MaterialAtlas,material_fqtz_17,合成所需要的图纸,
111021,天蝉灵叶4星图谱,MaterialAtlas,material_fqtz_19,合成所需要的图纸,
111121,天遁梭4星图谱,MaterialAtlas,material_fqtz_21,合成所需要的图纸,
111221,心灯4星图谱,MaterialAtlas,material_fqtz_23,合成所需要的图纸,
111321,天心樽4星图谱,MaterialAtlas,material_fqtz_25,合成所需要的图纸,
111421,九疑鼎4星图谱,MaterialAtlas,material_fqtz_27,合成所需要的图纸,
111521,天蓝神砂4星图谱,MaterialAtlas,material_fqtz_29,合成所需要的图纸,
111621,神禹印4星图谱,MaterialAtlas,material_fqtz_31,合成所需要的图纸,
110131,紫云障5星图谱,MaterialAtlas,material_fqtz_02,合成所需要的图纸,
110231,雪魂钟5星图谱,MaterialAtlas,material_fqtz_04,合成所需要的图纸,
110331,金乌神鼓5星图谱,MaterialAtlas,material_fqtz_06,合成所需要的图纸,
110431,天火灵幡5星图谱,MaterialAtlas,material_fqtz_08,合成所需要的图纸,
110531,神木塔5星图谱,MaterialAtlas,material_fqtz_10,合成所需要的图纸,
110631,冰魄寒光卷5星图谱,MaterialAtlas,material_fqtz_12,合成所需要的图纸,
110731,修罗盘5星图谱,MaterialAtlas,material_fqtz_14,合成所需要的图纸,
110831,五火神雷伞5星图谱,MaterialAtlas,material_fqtz_16,合成所需要的图纸,
110931,玄女琴5星图谱,MaterialAtlas,material_fqtz_18,合成所需要的图纸,
111031,天蝉灵叶5星图谱,MaterialAtlas,material_fqtz_20,合成所需要的图纸,
111131,天遁梭5星图谱,MaterialAtlas,material_fqtz_22,合成所需要的图纸,
111231,心灯5星图谱,MaterialAtlas,material_fqtz_24,合成所需要的图纸,
111331,天心樽5星图谱,MaterialAtlas,material_fqtz_26,合成所需要的图纸,
111431,九疑鼎5星图谱,MaterialAtlas,material_fqtz_28,合成所需要的图纸,
111531,天蓝神砂5星图谱,MaterialAtlas,material_fqtz_30,合成所需要的图纸,
111631,神禹印5星图谱,MaterialAtlas,material_fqtz_32,合成所需要的图纸,
120104,琉璃铳图谱,MaterialAtlas,material_wqtz_01,合成所需要的图纸,
120204,天龙剑图谱,MaterialAtlas,material_wqtz_03,合成所需要的图纸,
120304,修罗刀图谱,MaterialAtlas,material_wqtz_05,合成所需要的图纸,
