INT,STRING,STRING,STRING,STRING,INT,INT,INT,INT
INDEX,NAME,ICON_ATLAS_NAME,ICON_SPRITE_NAME,DESCRIPTION,GET_WAY_INDEX,PRICE,MATERIAL_INDEX,COST_NUM
0,µÀ¾ßÃû³Æ,Í¼±ê¼¯,Í¼±ê,µÀ¾ßÃèÊö,»ñµÃ·½Ê½Ë÷Òı,ºÏ³É¼Û¸ñ,ºÏ³É²ÄÁÏindex,ËùĞèËéÆ¬ÊıÁ¿
210121,×ÏÔÆÕÏ4ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_01,Í¼Ö½ËéÆ¬,210121,5000,110121,20
210221,Ñ©»êÖÓ4ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_03,Í¼Ö½ËéÆ¬,210221,5000,110221,20
210321,½ğÎÚÉñ¹Ä4ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_05,Í¼Ö½ËéÆ¬,210321,5000,110321,20
210421,Ìì»ğÁéá¦4ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_07,Í¼Ö½ËéÆ¬,210421,5000,110421,20
210521,ÉñÄ¾Ëş4ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_09,Í¼Ö½ËéÆ¬,210521,5000,110521,20
210621,±ùÆÇº®¹â¾í4ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_11,Í¼Ö½ËéÆ¬,210621,5000,110621,20
210721,ĞŞÂŞÅÌ4ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_13,Í¼Ö½ËéÆ¬,210721,5000,110721,20
210821,Îå»ğÉñÀ×É¡4ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_15,Í¼Ö½ËéÆ¬,210821,5000,110821,20
210921,ĞşÅ®ÇÙ4ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_17,Í¼Ö½ËéÆ¬,210921,5000,110921,20
211021,Ìì²õÁéÒ¶4ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_19,Í¼Ö½ËéÆ¬,211021,5000,111021,20
211121,Ìì¶İËó4ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_21,Í¼Ö½ËéÆ¬,211121,5000,111121,20
211221,ĞÄµÆ4ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_23,Í¼Ö½ËéÆ¬,211221,5000,111221,20
211321,ÌìĞÄé×4ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_25,Í¼Ö½ËéÆ¬,211321,5000,111321,20
211421,¾ÅÒÉ¶¦4ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_27,Í¼Ö½ËéÆ¬,211421,5000,111421,20
211521,ÌìÀ¶ÉñÉ°4ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_29,Í¼Ö½ËéÆ¬,211521,5000,111521,20
211621,ÉñÓíÓ¡4ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_31,Í¼Ö½ËéÆ¬,211621,5000,111621,20
210131,×ÏÔÆÕÏ5ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_02,Í¼Ö½ËéÆ¬,210131,5000,110131,20
210231,Ñ©»êÖÓ5ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_04,Í¼Ö½ËéÆ¬,210231,5000,110231,20
210331,½ğÎÚÉñ¹Ä5ĞÇÍ¼Æ×ËéÆ¬,MaterialAtlas,material_fqtzsp_06,Í¼Ö½ËéÆ¬,210331,5000,110331,20
