INT,INT,INT,STRING,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT
INDEX,ITEM_TYPE,ITEM_INDEX,NAME,PRICE,TYPE_1,MATERIAL_1,NUMBER_1,TYPE_2,MATERIAL_2,NUMBER_2,TYPE_3,MATERIAL_3,NUMBER_3,TYPE_4,MATERIAL_4,NUMBER_4,MATERIAL_5,NUMBER_5,MATERIAL_6,NUMBER_6
0,物品类型（6法宝，15材料，16材料碎片）,物品索引ID,物品名称,合成价格(铜钱),材料类型1,材料1,数量1,材料类型2,材料2,数量2,材料类型3,材料3,数量3,材料类型4,材料4,数量4,此列后面为废弃数据,数量2,碎片,碎片数量
110121,15,110121,紫云障4星图谱,5000,16,210121,20,,,,,,,,,,,,,
110221,15,110221,雪魂珠4星图谱,5000,16,210221,20,,,,,,,,,,,,,
110321,15,110321,金乌神障4星图谱,5000,16,210321,20,,,,,,,,,,,,,
110421,15,110421,天火灵珠4星图谱,5000,16,210421,20,,,,,,,,,,,,,
110521,15,110521,神木剑4星图谱,5000,16,210521,20,,,,,,,,,,,,,
110621,15,110621,冰魄寒光剑4星图谱,5000,16,210621,20,,,,,,,,,,,,,
110721,15,110721,修罗刀4星图谱,5000,16,210721,20,,,,,,,,,,,,,
110821,15,110821,五火神雷4星图谱,5000,16,210821,20,,,,,,,,,,,,,
110921,15,110921,玄女针4星图谱,5000,16,210921,20,,,,,,,,,,,,,
111021,15,111021,天蝉灵叶4星图谱,5000,16,211021,20,,,,,,,,,,,,,
111121,15,111121,天遁镜4星图谱,5000,16,211121,20,,,,,,,,,,,,,
111221,15,111221,心灯4星图谱,5000,16,211221,20,,,,,,,,,,,,,
111321,15,111321,天心环4星图谱,5000,16,211321,20,,,,,,,,,,,,,
111421,15,111421,九疑鼎4星图谱,5000,16,211421,20,,,,,,,,,,,,,
111521,15,111521,天蓝神砂4星图谱,5000,16,211521,20,,,,,,,,,,,,,
111621,15,111621,神禹令4星图谱,5000,16,211621,20,,,,,,,,,,,,,
110131,15,110131,紫云障5星图谱,5000,16,210131,20,,,,,,,,,,,,,
110231,15,110231,雪魂珠5星图谱,5000,16,210231,20,,,,,,,,,,,,,
110331,15,110331,金乌神障5星图谱,5000,16,210331,20,,,,,,,,,,,,,
110431,15,110431,天火灵珠5星图谱,5000,16,210431,20,,,,,,,,,,,,,
110531,15,110531,神木剑5星图谱,5000,16,210531,20,,,,,,,,,,,,,
110631,15,110631,冰魄寒光剑5星图谱,5000,16,210631,20,,,,,,,,,,,,,
110731,15,110731,修罗刀5星图谱,5000,16,210731,20,,,,,,,,,,,,,
110831,15,110831,五火神雷5星图谱,5000,16,210831,20,,,,,,,,,,,,,
110931,15,110931,玄女针5星图谱,5000,16,210931,20,,,,,,,,,,,,,
111031,15,111031,天蝉灵叶5星图谱,5000,16,211031,20,,,,,,,,,,,,,
111131,15,111131,天遁镜5星图谱,5000,16,211131,20,,,,,,,,,,,,,
111231,15,111231,心灯5星图谱,5000,16,211231,20,,,,,,,,,,,,,
111331,15,111331,天心环5星图谱,5000,16,211331,20,,,,,,,,,,,,,
111431,15,111431,九疑鼎5星图谱,5000,16,211431,20,,,,,,,,,,,,,
111531,15,111531,天蓝神砂5星图谱,5000,16,211531,20,,,,,,,,,,,,,
111631,15,111631,神禹令5星图谱,5000,16,211631,20,,,,,,,,,,,,,
120104,15,120104,琉璃铳图谱,5000,16,220104,20,,,,,,,,,,,,,
120204,15,120204,天龙剑图谱,5000,16,220204,20,,,,,,,,,,,,,
120304,15,120304,修罗刀图谱,5000,16,220304,20,,,,,,,,,,,,,
120404,15,120404,缠雷杖图谱,5000,16,220404,20,,,,,,,,,,,,,
120504,15,120504,雷神弓图谱,5000,16,220504,20,,,,,,,,,,,,,
120604,15,120604,破霞鞭图谱,5000,16,220604,20,,,,,,,,,,,,,
130104,15,130104,琉璃靴图谱,5000,16,230104,20,,,,,,,,,,,,,
130204,15,130204,天龙冠图谱,5000,16,230204,20,,,,,,,,,,,,,
130304,15,130304,修罗披风图谱,5000,16,230304,20,,,,,,,,,,,,,
130404,15,130404,奔雷服图谱,5000,16,230404,20,,,,,,,,,,,,,
