INDEX,NAME,CLASS,INFO,MODEL,RENDER_TYPE,HEAD_ATLAS_NAME,HEAD_SPRITE_NAME,ELEMENT_INDEX,STAR_LEVEL,SCALE,UI_SCALE,MOVE_SPEED,LOOKBOUND,AI_TIME,SKILL_COOLDOWN,ATTACK_SKILL,BASE_ATTACK,BASE_HP,PHYSICAL_DEFENCE,MAGIC_DEFENCE,HIT,DODGE,ATTACKSPEED,CRITICAL_STRIKE,CHARM_DEF,FEAR_DEF,FREEZE_DEF,STUN_DEF,BEATBACK_DEF,KNOCKDOWN_DEF,HIT_RATE,MITIGATIONG,DROP_HP_MAX_NUM,DROP_HP,DROP_MP_MAX_NUM,DROP_MP,PET_SKILL_1,PET_SKILL_2,PET_SKILL_3,PET_SKILL_4,EFFECT,GREEN_REDUCTION,RED_REDUCTION,BLUE_REDUCTION,SHADOW_REDUCTION,GOLD_REDUCTION,DEFENCE_CRITICAL_STRIKE,CRITICAL_STRIKE_DAMAGE,CRITICAL_DAMAGE_DERATE,AUTO_HP,AUTO_MP,ATTACK_STATE_1,ATTACK_STATE_2,ATTACK_STATE_3,AFFECT_BUFFER_1,AFFECT_BUFFER_2,AFFECT_BUFFER_3,BELOW_HP_RATE,HP_SKILL,SKILL,PET_CD_1,PET_CD_2,PET_CD_3,PET_CD_4,FULING_ID
INT,STRING,STRING,STRING,INT,INT,STRING,STRING,INT,INT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INT,FLOAT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,STRING,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,STRING,INT,INT,INT,INT,INT
74001,巨藤符妖,MONSTER,2星木,11030,0,AvatarAtlas,icon_runeimp_2_mu,2,2,0.6,0.6,4.680000000000001,13,0.2,0.9,400003,219692,1892870,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,1,119,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30030
74002,缠藤鸟,MONSTER,2星木,11013,0,AvatarAtlas,icon_mechbird_2_mu,2,2,1,1,6.3,15,0.05,0.95,400008,219692,1892875,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,1,119,1,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30013
74003,峰山木,MONSTER,3星木,11065,0,AvatarAtlas,icon_treeman_3_mu,2,3,0.9,0.9,4.680000000000001,13,0.2,1,400026,219693,1892880,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,1,120,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30065
74004,雏雀,MONSTER,1星木,11002,0,AvatarAtlas,icon_maque_1_mu,2,1,0.6,0.6,6.3,15,0.2,0.7,400002,311231,1183059,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,1,165,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30002
74005,诸乘射手,MONSTER,4星木,11092,0,AvatarAtlas,icon_huaqingting_4_mu,2,4,0.9,0.9,5.04,15,0.2,0.8,400070,342355,1478824,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,1,207,1,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30092
74006,吞天兽,BOSS,5星木,11113,0,AvatarAtlas,icon_totie_4_mu,2,4,1.4,0.9,4.680000000000001,13,0.2,1,400107,486985,9464373,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,1,196,1,101,109113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30086
74007,滚木龟,MONSTER,2星木,11034,0,AvatarAtlas,icon_wugui_2_mu,3,2,0.9,0.9,4.680000000000001,13,0.2,0.9,400005,329541,425926,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,1,187,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30034
74008,盘根虎,MONSTER,2星木,11022,0,AvatarAtlas,icon_hu_2_mu,2,2,0.9,0.9,5.9399999999999995,13,0.05,0.8,400011,219695,1892905,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,1,125,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30022
74009,神木大圣,BOSS,4星木,11086,0,AvatarAtlas,icon_sunwukong_5_mu,2,5,1.4,1.1,6.3,13,0.05,1,400056,486987,9464388,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,1,203,1,76,109086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30095
