INT,STRING,STRING,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT
GROUND_ID,FATE_TITLE,FATE_PROPERTY,FATE_ADDTIVE_ID,FATE_ACTIVE_COUNT,FATE_PET_ID_1,FATE_PET_ID_2,FATE_PET_ID_3,FATE_PET_ID_4,FATE_PET_ID_5,FATE_PET_ID_6,FATE_PET_ID_7,FATE_PET_ID_8,FATE_PET_ID_9
10001,打不死的小强,再生能力+100%,100001,1,101001,101002,101003,,,,,,
10002,打不死的小强,再生能力+100%,100001,1,101001,,,,,,,,
10003,打不死的小强,再生能力+100%,100001,1,101001,,,,,,,,
10004,打不死的小强,再生能力+100%,100001,1,101001,,,,,,,,
10005,打不死的小强,再生能力+100%,100001,1,101001,,,,,,,,
10006,打不死的小强,再生能力+100%,100001,1,101001,,,,,,,,
10007,打不死的小强,再生能力+100%,100001,1,101001,,,,,,,,
10008,打不死的小强,再生能力+100%,100001,1,101001,,,,,,,,
10009,打不死的小强,再生能力+100%,100001,1,101001,,,,,,,,
10010,打不死的小强,再生能力+100%,100001,1,101001,,,,,,,,
10011,打不死的小强,再生能力+100%,100001,1,101001,,,,,,,,
10012,打不死的小强,再生能力+100%,100001,1,101001,,,,,,,,
20001,打不死的小强,再生能力+100%,100001,6,101001,101001,101001,101001,101001,101001,101001,101001,101001
30001,打不死的小强,再生能力+100%,100001,9,101001,101001,101001,101001,101001,101001,101001,101001,101001
40001,打不死的小强,再生能力+100%,100001,6,101001,101001,101001,101001,101001,101001,101001,101001,101001
50001,打不死的小强,再生能力+100%,100001,9,101001,101001,101001,101001,101001,101001,101001,101001,101001
