INT,INT,STRING,INT,INT,STRING
INDEX,EXP,UNLOCK_GUIDE,UNLOCK_FUNCTION_1,UNLOCK_FUNCTION_2,UNLOCK_TITLE
1,8,,,,
2,12,,,,
3,16,,,,
4,90,,,,
5,110,,,,
6,120,,,,
7,130,,,,
8,150,,,,
9,170,,,,
10,190,,,,
11,240,,,,
12,260,,,,
13,280,,,,
14,310,,,,
15,330,,,,
16,360,,,,
17,400,,,,
18,430,,,,
19,470,,,,
20,510,,,,
21,630,,,,
22,670,,,,
23,710,,,,
24,750,,,,
25,800,,,,
26,850,,,,
27,910,,,,
28,960,,,,
29,1030,,,,
30,1090,,,,
31,1250,,,,
32,1310,,,,
33,1370,,,,
34,1440,,,,
35,1510,,,,
36,1580,,,,
37,1660,,,,
38,1740,,,,
39,1830,,,,
40,1920,,,,
41,2100,,,,
42,2190,,,,
43,2270,,,,
44,2360,,,,
45,2460,,,,
46,2550,,,,
47,2650,,,,
48,2760,,,,
49,2870,,,,
50,2980,,,,
51,3200,,,,
52,3300,,,,
53,3410,,,,
54,3530,,,,
55,3640,,,,
56,3760,,,,
57,3890,,,,
58,4020,,,,
59,4150,,,,
60,4290,,,,
61,4530,,,,
62,4660,,,,
63,4790,,,,
64,4930,,,,
65,5070,,,,
66,5220,,,,
67,5370,,,,
68,5520,,,,
69,5680,,,,
70,5840,,,,
71,6100,,,,
72,6260,,,,
73,6410,,,,
74,6570,,,,
75,6740,,,,
76,6910,,,,
77,7080,,,,
78,7260,,,,
79,7440,,,,
80,7630,,,,
81,7920,,,,
82,8090,,,,
83,8270,,,,
84,8460,,,,
85,8650,,,,
86,8840,,,,
87,9040,,,,
88,9240,,,,
89,9440,,,,
90,9650,,,,
91,9860,,,,
92,10070,,,,
93,10280,,,,
94,10490,,,,
95,10700,,,,
96,10910,,,,
97,11120,,,,
98,11330,,,,
99,11540,,,,
100,11750,,,,
