INT,STRING,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT
INDEX,BOTNAME,BOTLEVEL,BOTSCORE,BOTUNIT1,BOTLEVEL1,BOTUNIT2,BOTLEVEL2,BOTUNIT3,BOTLEVEL3,BOTUNIT4,BOTLEVEL4,BOTUNIT5,BOTLEVEL5,BOTUNIT6,BOTLEVEL6
0,名称,BOSS场景,信息,等级,掉落妖丹,掉落物品,模型,头像Atlas名字,头像图标文件名,元素属性：火水木阳阴,缩放比,移动速度,攻击视野,攻击间隔,普通攻击技能
1000,甫文彦,5,1000,101001,5,101001,5,101001,5,0,0,0,0,0,0
1001,司马玉韵,5,1000,101001,5,101001,5,101001,5,0,0,0,0,0,0
1002,顿嘉懿,5,1000,101001,5,101001,5,101001,5,0,0,0,0,0,0
1003,滕鸿文,5,1000,101001,5,101001,5,101001,5,0,0,0,0,0,0
1004,钭飞翮,5,1000,101001,5,101001,5,101001,5,0,0,0,0,0,0
1005,顾明煦,5,1000,101001,5,101001,5,101001,5,0,0,0,0,0,0
1006,严鸿朗,5,1000,101001,5,101001,5,101001,5,0,0,0,0,0,0
1007,源彭彭,5,1000,101001,5,101001,5,101001,5,0,0,0,0,0,0
1008,爱浩初,5,1000,101001,5,101001,5,101001,5,0,0,0,0,0,0
1009,计健柏,5,1000,101001,5,101001,5,101001,5,0,0,0,0,0,0
1010,弭建修,5,1000,101001,5,101001,5,101001,5,0,0,0,0,0,0
1011,师和泰,5,1000,101001,5,101001,5,101001,5,0,0,0,0,0,0
1012,天璞玉,5,1000,101001,5,101001,5,101001,5,0,0,0,0,0,0
1013,素子瑜,5,1000,101001,5,101001,5,101001,5,0,0,0,0,0,0
1014,冼阳夏,5,1000,101001,5,101001,5,101001,5,0,0,0,0,0,0
1015,印昊乾,5,1000,101001,5,101001,5,101001,5,0,0,0,0,0,0
1016,车和悦,5,1000,101001,5,101001,5,101001,5,0,0,0,0,0,0
1017,家长星,5,1000,101001,5,101001,5,101001,5,0,0,0,0,0,0
1018,府德海,5,1000,101001,5,101001,5,101001,5,0,0,0,0,0,0
1019,郭飞驰,5,1000,101001,5,101001,5,101001,5,0,0,0,0,0,0
1020,纳喇英豪,5,1000,101001,5,101001,5,101001,5,0,0,0,0,0,0
1021,纳昊明,5,1000,101001,5,101001,5,101001,5,0,0,0,0,0,0
1022,年泰鸿,5,1000,101001,5,101001,5,101001,5,0,0,0,0,0,0
1023,宿昆琦,5,1000,101001,5,101001,5,101001,5,101001,5,101001,5,101001,5
1024,蒲景龙,5,1000,101001,5,101001,5,101001,5,101001,5,101001,5,101001,5
1025,史浩渺,5,1000,101001,5,101001,5,101001,5,101001,5,101001,5,101001,5
1026,齐承嗣,5,1000,101001,5,101001,5,101001,5,101001,5,101001,5,101001,5
1027,丑飞翔,5,1000,101001,5,101001,5,101001,5,101001,5,101001,5,101001,5
1028,牵高畅,5,1000,101001,5,101001,5,101001,5,101001,5,101001,5,101001,5
1029,荆令羽,5,1000,101001,5,101001,5,101001,5,101001,5,101001,5,101001,5
1030,夕成天,5,1000,101001,5,101001,5,101001,5,101001,5,101001,5,101001,5
1031,绍运晟,5,1000,101001,5,101001,5,101001,5,101001,5,101001,5,101001,5
1032,侍泽洋,5,1000,101001,5,101001,5,101001,5,101001,5,101001,5,101001,5
1033,尉迟才哲,5,1000,101001,5,101001,5,101001,5,101001,5,101001,5,101001,5
1034,顾俊英,5,1000,101001,5,101001,5,101001,5,101001,5,101001,5,101001,5
1035,萨康顺,5,1000,101001,5,101001,5,101001,5,101001,5,101001,5,101001,5
1036,贺晋鹏,5,1000,101001,5,101001,5,101001,5,101001,5,101001,5,101001,5
1037,空高芬,5,1000,101001,5,101001,5,101001,5,101001,5,101001,5,101001,5
1038,包腾骏,5,1000,101001,5,101001,5,101001,5,101001,5,101001,5,101001,5
1039,不永言,5,1000,101001,5,101001,5,101001,5,101001,5,101001,5,101001,5
1040,旷乐悦,5,1000,101001,5,101001,5,101001,5,101001,5,101001,5,101001,5
1041,其鸿煊,10,1000,101001,10,101001,10,101001,10,101001,10,101001,10,101001,10
1042,沃家骏,10,1000,101001,10,101001,10,101001,10,101001,10,101001,10,101001,10
1043,厍鸿风,10,1000,101001,10,101001,10,101001,10,101001,10,101001,10,101001,10
1044,昝志勇,10,1000,101001,10,101001,10,101001,10,101001,10,101001,10,101001,10
1045,东郭翰采,10,1000,101001,10,101001,10,101001,10,101001,10,101001,10,101001,10
1046,梁敏学,10,1000,101001,10,101001,10,101001,10,101001,10,101001,10,101001,10
1047,锺安翔,10,1000,101001,10,101001,10,101001,10,101001,10,101001,10,101001,10
1048,原安怡,10,1000,101001,10,101001,10,101001,10,101001,10,101001,10,101001,10
1049,司空宏才,10,1000,101001,10,101001,10,101001,10,101001,10,101001,10,101001,10
1050,委飞掣,10,1000,101001,10,101001,10,101001,10,101001,10,101001,10,101001,10
1051,姜修能,10,1000,101001,10,101001,10,101001,10,101001,10,101001,10,101001,10
