INDEX,ROLE_ID,ROLE_LEVEL,COMBAT,PETID_MIN_1,PETID_MAX_1,PETID_MIN_2,PETID_MAX_2,PETID_MIN_3,PETID_MAX_3
INT,INT,INT,INT,INT,INT,INT,INT,INT,INT
1,50111,39,119942,30720,30720,30683,30683,30697,30697
2,50011,39,119912,30641,30641,30621,30621,30706,30706
3,50111,38,119912,30720,30720,30683,30683,30697,30697
4,50011,38,119933,30376,30376,30657,30657,30726,30726
5,50011,37,119926,30735,30735,30630,30630,30565,30565
6,50011,37,119936,30612,30612,30744,30744,30666,30666
7,50011,37,119938,30376,30376,30657,30657,30726,30726
8,50011,37,119924,30735,30735,30630,30630,30565,30565
9,50111,37,119969,30735,30735,30630,30630,30565,30565
10,50111,36,95845,30734,30734,30588,30588,30557,30557
11,50112,36,95826,30375,30375,30752,30752,30714,30714
12,50012,36,95868,30375,30375,30752,30752,30714,30714
13,50012,36,95880,30611,30611,30665,30665,30688,30688
14,50012,36,95872,30640,30640,30620,30620,30674,30674
15,50112,36,95867,30632,30632,30682,30682,30498,30498
16,50012,36,95911,30611,30611,30688,30688,30743,30743
17,50112,36,95850,30375,30375,30725,30725,30752,30752
18,50112,36,95912,30734,30734,30588,30588,30557,30557
19,50012,36,95832,30734,30734,30588,30588,30557,30557
20,50112,36,95871,30734,30734,30588,30588,30557,30557
21,50112,36,95826,30632,30632,30696,30696,30498,30498
22,50012,36,95910,30367,30367,30620,30620,30705,30705
23,50012,36,95901,30375,30375,30714,30714,30752,30752
24,50112,36,95847,30611,30611,30665,30665,30649,30649
25,50012,36,95846,30611,30611,30688,30688,30743,30743
26,50012,36,95829,30375,30375,30714,30714,30752,30752
27,50112,36,95886,30734,30734,30629,30629,30557,30557
28,50112,36,95828,30611,30611,30743,30743,30649,30649
29,50112,36,95874,30632,30632,30696,30696,30498,30498
30,50012,35,74417,30733,30733,30628,30628,30556,30556
31,50012,35,74427,30374,30374,30724,30724,30751,30751
32,50012,35,74415,30374,30374,30713,30713,30751,30751
33,50012,35,74361,30374,30374,30656,30656,30713,30713
34,50012,35,74420,30610,30610,30742,30742,30648,30648
35,50012,35,74390,30610,30610,30664,30664,30687,30687
36,50012,35,74365,30733,30733,30587,30587,30556,30556
37,50012,35,74356,30366,30366,30673,30673,30619,30619
38,50112,35,74434,30374,30374,30724,30724,30751,30751
39,50012,35,74437,30374,30374,30751,30751,30713,30713
40,50012,35,74387,30639,30639,30619,30619,30673,30673
41,50012,35,74417,30733,30733,30628,30628,30556,30556
