INT,STRING,STRING,STRING,STRING
INDEX,PIPE_LINE_TYPE,NOTE,COMPONENT_NAME,OPERATE_TYPE
1,Set_YuanBao_Cost,设定元宝数值,yuanBaoNum,SetLabel
2,Set_Contri_Cost,设定宗门贡献值数值,contriNum,SetLabel
3,Set_Silver_Cost,设定银币数值,silverNum,SetLabel
4,Set_Ghost_Cost,设定符魂数值,ghostNum,SetLabel
5,Set_Reputation_Cost,设定声望数值,reputationNum,SetLabel
6,Set_MoLing_Cost,设定魔麟数值,moLingNum,SetLabel
7,Set_Core_Cost,设定灵核数值,coreNum,SetLabel
8,Set_Energy_Cost,设定精力数值,energyLabel,SetLabel
9,Set_Stamina_Cost,设定体力数值,staminaLabel,SetLabel
10,Set_XiangMo_Cost,设定降魔令数值,xiangMoLabel,SetLabel
11,Set_YuanBao_Icon,元宝图标,yuanBaoIcon,SetIcon
12,Set_Contri_Icon,宗门贡献图标,contriIcon,SetIcon
13,Set_Silver_Icon,银币图标,silverIcon,SetIcon
14,Set_Ghost_Icon,符魂图标,ghostIcon,SetIcon
15,Set_Reputation_Icon,声望图标,reputationIcon,SetIcon
16,Set_Moling_Icon,魔麟图标,moLingIcon,SetIcon
17,Set_Core_Icon,灵核图标,coreIcon,SetIcon
18,Set_Level_Label,,levelLabel,SetLabel
19,Set_LevelPer_Slider,,levelPerSlider,SetSlider
20,Set_LevelPer_Label,,levelPerLabel,SetLabel
21,Set_Vip_Label,,vipLabel,SetLabel
22,Set_Role_Name,,roleName,SetLabel
