INDEX,MONSTER,DRAMA_MONSTER,WAYPOINT,DESC,DELAY,GROUP
INT,INT,INT,INT,STRING,FLOAT,INT
21001006,74001,0,0,精英木之境1-1,0,1
21001007,74001,0,1,精英木之境1-1,0,1
21001008,74002,0,2,精英木之境1-1,0,1
21001009,74002,0,3,精英木之境1-1,0,1
21001010,74002,0,4,精英木之境1-1,0,1
21001012,74003,0,5,精英木之境1-1,0,2
21001013,74003,0,6,精英木之境1-1,0,2
21001014,74004,0,7,精英木之境1-1,0,2
21001015,74004,0,8,精英木之境1-1,0,2
21001016,74004,0,9,精英木之境1-1,0,2
21001018,74001,0,10,精英木之境1-1,0,3
21001019,74001,0,11,精英木之境1-1,0,3
21001020,74002,0,12,精英木之境1-1,0,3
21001021,74002,0,13,精英木之境1-1,0,3
21001022,74002,0,14,精英木之境1-1,0,3
21001024,74003,0,15,精英木之境1-1,0,4
21001025,74003,0,16,精英木之境1-1,0,4
21001026,74004,0,17,精英木之境1-1,0,4
21001027,74004,0,18,精英木之境1-1,0,4
21001028,74004,0,19,精英木之境1-1,0,4
21001035,74005,0,20,精英木之境1-1,0,5
21001034,74005,0,21,精英木之境1-1,0,5
21001033,74005,0,22,精英木之境1-1,0,5
21001031,74006,0,23,精英木之境1-1,0,5
21002029,74007,0,0,精英木之境1-2,0,1
21002028,74007,0,1,精英木之境1-2,0,1
21002027,74002,0,2,精英木之境1-2,0,1
21002026,74002,0,3,精英木之境1-2,0,1
21002025,74002,0,4,精英木之境1-2,0,1
21002023,74008,0,5,精英木之境1-2,0,2
21002022,74008,0,6,精英木之境1-2,0,2
21002021,74004,0,7,精英木之境1-2,0,2
21002020,74004,0,8,精英木之境1-2,0,2
21002019,74004,0,9,精英木之境1-2,0,2
21002017,74007,0,10,精英木之境1-2,0,3
21002016,74007,0,11,精英木之境1-2,0,3
21002015,74002,0,12,精英木之境1-2,0,3
21002014,74002,0,13,精英木之境1-2,0,3
21002013,74002,0,14,精英木之境1-2,0,3
21002011,74008,0,15,精英木之境1-2,0,4
21002010,74008,0,16,精英木之境1-2,0,4
21002009,74004,0,17,精英木之境1-2,0,4
21002008,74004,0,18,精英木之境1-2,0,4
21002007,74004,0,19,精英木之境1-2,0,4
21002000,74005,0,20,精英木之境1-2,0,5
21002001,74005,0,21,精英木之境1-2,0,5
21002002,74005,0,22,精英木之境1-2,0,5
21002004,74009,0,23,精英木之境1-2,0,5
21003006,74010,0,0,精英木之境1-3,0,1
21003007,74010,0,1,精英木之境1-3,0,1
21003008,74011,0,2,精英木之境1-3,0,1
21003009,74011,0,3,精英木之境1-3,0,1
21003010,74011,0,4,精英木之境1-3,0,1
21003012,74012,0,5,精英木之境1-3,0,2
21003013,74012,0,6,精英木之境1-3,0,2
21003014,74013,0,7,精英木之境1-3,0,2
21003015,74013,0,8,精英木之境1-3,0,2
21003016,74013,0,9,精英木之境1-3,0,2
21003018,74010,0,10,精英木之境1-3,0,3
21003019,74010,0,11,精英木之境1-3,0,3
21003020,74011,0,12,精英木之境1-3,0,3
21003021,74011,0,13,精英木之境1-3,0,3
21003022,74011,0,14,精英木之境1-3,0,3
21003024,74012,0,15,精英木之境1-3,0,4
21003025,74012,0,16,精英木之境1-3,0,4
21003026,74013,0,17,精英木之境1-3,0,4
21003027,74013,0,18,精英木之境1-3,0,4
21003028,74013,0,19,精英木之境1-3,0,4
21003035,74014,0,20,精英木之境1-3,0,5
21003034,74014,0,21,精英木之境1-3,0,5
21003033,74014,0,22,精英木之境1-3,0,5
21003031,74015,0,23,精英木之境1-3,0,5
21004029,74016,0,0,精英木之境1-4,0,1
21004028,74016,0,1,精英木之境1-4,0,1
21004027,74013,0,2,精英木之境1-4,0,1
21004026,74013,0,3,精英木之境1-4,0,1
21004025,74013,0,4,精英木之境1-4,0,1
21004023,74017,0,5,精英木之境1-4,0,2
21004022,74017,0,6,精英木之境1-4,0,2
21004021,74018,0,7,精英木之境1-4,0,2
21004020,74018,0,8,精英木之境1-4,0,2
21004019,74018,0,9,精英木之境1-4,0,2
21004017,74016,0,10,精英木之境1-4,0,3
21004016,74016,0,11,精英木之境1-4,0,3
21004015,74013,0,12,精英木之境1-4,0,3
21004014,74013,0,13,精英木之境1-4,0,3
21004013,74013,0,14,精英木之境1-4,0,3
21004011,74017,0,15,精英木之境1-4,0,4
21004010,74017,0,16,精英木之境1-4,0,4
21004009,74018,0,17,精英木之境1-4,0,4
21004008,74018,0,18,精英木之境1-4,0,4
21004007,74018,0,19,精英木之境1-4,0,4
21004000,74019,0,20,精英木之境1-4,0,5
