INDEX,TYPE,DIFFICULTY,NAME,DESC,SCENE_NAME,ROLE_BIRTH_POINT,MODEL_COLOR,BACK_MUSIC,MUSIC_VOLUME,START_SOUND,WIN_SOUND,LOST_SOUND,BOSS_SOUND,START_X,START_Z,END_X,END_Z,MINIMAP_TEXTURE,MINIMAP_TEXTURE_W,MINIMAP_TEXTURE_H,STAGENUMBER,DROP_FRIST,DROPGROUPID,GROUP_PLOT,LOOT_PREVEIW,DROPMIN,DROPMAX,FRONT_INDEX,FRONT_INDEX_1,FRONT_INDEX_2,AFTER_INDEX_1,AFTER_INDEX_2,DIALOG,CHECK_TIME,CHECK_BATTLE,RENFERENCE_BATTLE,BOSS_ACTIVE_RATE,HEADICON,BOSS_MONEY,ADDSTAR_0,ADDSTAR_1,ADDSTAR_2,CHALLENGE_NUM,SWEEP_TIME,CAMERA_PATH,DRAMA_PARAM,STAGE_TIME,AWARD_TYPE_1,AWARD_1,AWARD_TYPE_2,AWARD_2,AWARD_TYPE_3,AWARD_3,KEEPLINE,MONSTER_MONEY,MONSTER_EXP,BOSS_EXP,MONSTER_COUNT,DIFFICULT,STATUS,OPENTIME,OPENDAY,OPENMONTH,STAGELIMIT,EVENT_OPEN_COST,EVENT_EXTRA_COST,STAGE_TYPE,DESC_MJ,PLAYER_EXP,EXP_TIME,NEED_BATTLE,DIFFICULTY_NUM,ROLE_BIRTH_DIRECTION
INT,INT,INT,STRING,STRING,STRING,STRING,STRING,STRING,FLOAT,STRING,STRING,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,STRING,STRING,INT,STRING,STRING,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,FLOAT,INT,STRING,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,STRING,INT,INT,INT,INT,INT,INT,STRING,INT,INT,INT,INT,INT
23001,4,0,炎之狱,0,raging_boss,0,255 0 0 200,Sound/Stage/boss_stage_bgm,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,0,-88.1,-48,73.8,53.1,textures/minimap/raging_boss,859,517,0,0,0,0,0,0,0,0,0,0,0,0,0,10,100,1000,2000,0,0,0,0,0,99,1,1,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,20,3,1000,0,0
23002,4,0,水之痕,0,sherbet_boss,0,0 0 0 255,Sound/Stage/boss_stage_bgm,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,0,-57.6,-29,43.3,34.1,textures/minimap/sherbet_boss,859,482,0,0,0,0,0,0,0,0,0,0,0,0,0,10,100,1000,2000,0,0,0,0,0,99,1,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,20,3,1000,0,0
23003,4,0,木之心,0,forest_boss,0,0 0 0 255,Sound/Stage/boss_stage_bgm,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,0,-71.2,-37.5,56.9,42.6,textures/minimap/forest_boss,859,460,0,0,0,0,0,0,0,0,0,0,0,0,0,10,100,1000,2000,0,0,0,0,0,99,1,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,20,3,1000,0,0
23004,4,0,阳之境,0,desert_boss,-6.8 0.4 4,0 0 0 255,Sound/Stage/boss_stage_bgm,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,0,-45.1,-21.2,30.8,26.2,textures/minimap/desert_boss,859,541,0,0,0,0,0,0,0,0,0,0,0,0,0,10,100,1000,2000,0,0,0,0,0,99,1,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,20,3,1000,0,0
23005,4,0,阴之渊,0,purgatory_boss,1.3 5 -1.6,60 130 190 160,Sound/Stage/boss_stage_bgm,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,0,-39.5,-17.7,25.2,22.7,textures/minimap/purgatory_boss,944,618,0,0,0,0,0,0,0,0,0,0,0,0,0,10,100,1000,2000,0,0,0,0,0,99,1,1,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,20,3,1000,0,0
26001,8,0,吉祥,0,propitious_pk,0,0 0 0 255,Sound/Stage/boss_stage_bgm03,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,0,-44.2,-20.6,29.9,25.7,textures/minimap/propitious_pk,859,541,0,0,0,0,0,0,0,0,0,0,0,0,0,10,100,1000,2000,0,0,0,0,0,99,1,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,1000,0,0
26002,8,0,吉祥,0,propitious_pk,0,0 0 0 255,Sound/Stage/boss_stage_bgm03,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,0,-44.2,-20.6,29.9,25.7,textures/minimap/propitious_pk,859,541,0,0,0,0,0,0,0,0,0,0,0,0,0,10,100,1000,2000,0,0,0,0,0,99,1,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,1000,0,0
26003,8,0,地狱,0,hell_pk,0,255 0 0 200,Sound/Stage/boss_stage_bgm03,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,0,-41.7,-19,27.4,24.1,textures/minimap/hell_pk,859,541,0,0,0,0,0,0,0,0,0,0,0,0,0,10,100,1000,2000,0,0,0,0,0,99,1,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,1000,0,-100
27001,9,0,夺宝关卡,0,propitious_pk,0,0 0 0 255,Sound/Stage/boss_stage_bgm03,0.7,0,Sound/new/GK_win,Sound/new/GK_lost,0,-44.2,-20.6,29.9,25.7,textures/minimap/propitious_pk,859,541,0,0,0,0,0,0,0,0,0,0,0,0,0,10,100,1000,2000,0,0,0,0,0,99,1,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,1000,0,0
