INDEX,DROP_GROUP
INT,STRING
6092044,92044|92803|92802|92802|92802
6092046,92046|92804|92803
6092051,92051|92805|92802
6092052,92052|92803|92802|92802|92802
6092056,92056|92804|92803
6092059,92059|92805|92802
6092062,92062|92803|92802|92802|92802
6092066,92066|92804|92803
6092067,92067|92805|92802
6092070,92070|92803|92802|92802|92802
6092072,92072|92803|92802|92802|92802
6092074,92074|92803|92802|92802|92802
6092076,92076|92804|92803
6092077,92077|92805|92802
6092078,92078|92803|92802|92802|92802
6092079,92079|92804|92803
6092080,92080|92805|92802
6092081,92081|92803|92802|92802|92802
6092082,92082|92804|92803
6092083,92083|92805|92802
6092084,92084|92803|92802|92802|92802
6092085,92085|92804|92803
6092086,92086|92805|92802
6092087,92087|92803|92802|92802|92802
6092088,92088|92804|92803
6092089,92089|92805|92802
6092090,92090|92803|92802|92802|92802
6092091,92091|92804|92803
6092092,92092|92805|92802
6092075,92075|92803|92802|92802|92802
6092093,92093|92804|92803
6092094,92094|92805|92802
6092095,92095|92803|92802|92802|92802
6092096,92096|92804|92803
6092097,92097|92805|92802
6092098,92098|92803|92802|92802|92802
6092099,92099|92804|92803
6092100,92100|92805|92802
6092101,92101|92803|92802|92802|92802
6092102,92102|92804|92803
6092103,92103|92805|92802
6092104,92104|92803|92802|92802|92802
6092105,92105|92804|92803
6092106,92106|92805|92802
6092107,92107|92803|92802|92802|92802
6092108,92108|92804|92803
6092110,92110|92805|92802
6092111,92111|92803|92802|92802|92802
6092112,92112|92804|92803
6092113,92113|92805|92802
6092115,92115|92803|92802|92802|92802
6092116,92116|92804|92803
6092117,92117|92805|92802
6092118,92118|92803|92802|92802|92802
6092201,92201|92801|92801|92801
6092202,92202|92801|92801|92801
6092203,92203|92801|92801|92801
6092204,92204|92801|92801|92801
6092301,92301|92803|92802|92801
6092302,92302|92804|92802
6092303,92303|92803|92802|92801
6092304,92304|92804|92802
6092305,92305|92803|92802|92802|92802
6092306,92306|92804|92803
6092307,92307|92803|92802|92802|92802
6092308,92308|92804|92803
6092401,92401|92803|92802|92802|92802
6092402,92402|92804|92803
6092403,92403|92805|92802
6092404,92404|92803|92802|92802|92802
6092405,92405|92804|92803
6092406,92406|92805|92802
6092407,92407|92803|92802|92802|92802
6092408,92408|92804|92803
6092409,92409|92805|92802
6092410,92410|92803|92802|92802|92802
6092411,92411|92804|92803
6092412,92412|92805|92802
6092501,92501|92803|92802|92802|92802
6092502,92502|92804|92803
6092503,92503|92805|92802
6092504,92504|92803|92802|92802|92802
6092505,92505|92804|92803
6092506,92506|92805|92802
6092507,92507|92803|92802|92802|92802
6092508,92508|92804|92803
6092509,92509|92805|92802
6092510,92510|92803|92802|92802|92802
6092511,92511|92804|92803
6092512,92512|92805|92802
6092601,92601|92803|92802|92802|92802
6092701,92701|92803|92802|92801
6092702,92702|92804|92803
6092703,92703|92805|92802
6092704,92704|92803|92802|92802|92802
6092705,92705|92804|92803
6092706,92706|92805|92802
6092707,92707|92803|92802|92802|92802
6092708,92708|92804|92803
6092709,92709|92805|92802
6092710,92710|92803|92802|92802|92802
6092811,92801|92801
6092812,92803
6092821,92801|92801|92801
6092822,92802|92802|92802
6092823,92803|92802|
6092831,92803|92802|92801
6092832,92804|92802
6092833,92805
6092841,92803|92802|92802|92802
6092842,92804|92803
6092843,92805|92802
6092851,92805|92802|92802
6092852,92804
6091001,91001
6091002,91002
6091003,91003
6091004,91004
6091101,91101
6091102,91102
6091103,91103
6091201,91201
6091202,91202
6091203,91203
6091204,91204
6091301,91301
6091302,91302
6091303,91303
6091401,91401
6091402,91402
6091403,91403
