INDEX,STARNAME,STARNAME_STATE,STARNAME_WIN,LOST_STARNAME,STARTYPE,STARVAR
INT,STRING,STRING,STRING,STRING,INT,INT
1000,在{0}秒内过关,已用时间：{0}/{1}秒,恭喜少侠达成过关条件:在{0}秒内过关,未能达成过关条件：在{0}秒内过关,0,150
1001,在{0}秒内过关,已用时间：{0}/{1}秒,恭喜少侠达成过关条件:在{0}秒内过关,未能达成过关条件：在{0}秒内过关,0,140
1002,在{0}秒内过关,已用时间：{0}/{1}秒,恭喜少侠达成过关条件:在{0}秒内过关,未能达成过关条件：在{0}秒内过关,0,130
1003,在{0}秒内过关,已用时间：{0}/{1}秒,恭喜少侠达成过关条件:在{0}秒内过关,未能达成过关条件：在{0}秒内过关,0,120
1004,在{0}秒内过关,已用时间：{0}/{1}秒,恭喜少侠达成过关条件:在{0}秒内过关,未能达成过关条件：在{0}秒内过关,0,110
1005,在{0}秒内过关,已用时间：{0}/{1}秒,恭喜少侠达成过关条件:在{0}秒内过关,未能达成过关条件：在{0}秒内过关,0,100
1006,在{0}秒内过关,已用时间：{0}/{1}秒,恭喜少侠达成过关条件:在{0}秒内过关,未能达成过关条件：在{0}秒内过关,0,90
1007,在{0}秒内过关,已用时间：{0}/{1}秒,恭喜少侠达成过关条件:在{0}秒内过关,未能达成过关条件：在{0}秒内过关,0,80
1008,在{0}秒内过关,已用时间：{0}/{1}秒,恭喜少侠达成过关条件:在{0}秒内过关,未能达成过关条件：在{0}秒内过关,0,75
1009,在{0}秒内过关,已用时间：{0}/{1}秒,恭喜少侠达成过关条件:在{0}秒内过关,未能达成过关条件：在{0}秒内过关,0,70
1010,在{0}秒内过关,已用时间：{0}/{1}秒,恭喜少侠达成过关条件:在{0}秒内过关,未能达成过关条件：在{0}秒内过关,0,65
1011,在{0}秒内过关,已用时间：{0}/{1}秒,恭喜少侠达成过关条件:在{0}秒内过关,未能达成过关条件：在{0}秒内过关,0,60
1012,在{0}秒内过关,已用时间：{0}/{1}秒,恭喜少侠达成过关条件:在{0}秒内过关,未能达成过关条件：在{0}秒内过关,0,60
1013,在{0}秒内过关,已用时间：{0}/{1}秒,恭喜少侠达成过关条件:在{0}秒内过关,未能达成过关条件：在{0}秒内过关,0,60
1014,在{0}秒内过关,已用时间：{0}/{1}秒,恭喜少侠达成过关条件:在{0}秒内过关,未能达成过关条件：在{0}秒内过关,0,60
1015,在{0}秒内过关,已用时间：{0}/{1}秒,恭喜少侠达成过关条件:在{0}秒内过关,未能达成过关条件：在{0}秒内过关,0,60
1016,在{0}秒内过关,已用时间：{0}/{1}秒,恭喜少侠达成过关条件:在{0}秒内过关,未能达成过关条件：在{0}秒内过关,0,60
1017,在{0}秒内过关,已用时间：{0}/{1}秒,恭喜少侠达成过关条件:在{0}秒内过关,未能达成过关条件：在{0}秒内过关,0,60
1018,在{0}秒内过关,已用时间：{0}/{1}秒,恭喜少侠达成过关条件:在{0}秒内过关,未能达成过关条件：在{0}秒内过关,0,60
1019,在{0}秒内过关,已用时间：{0}/{1}秒,恭喜少侠达成过关条件:在{0}秒内过关,未能达成过关条件：在{0}秒内过关,0,60
1020,在{0}秒内过关,已用时间：{0}/{1}秒,恭喜少侠达成过关条件:在{0}秒内过关,未能达成过关条件：在{0}秒内过关,0,60
2000,关卡中己方死亡灵将少于{0}个,死亡灵将：{0}/{1}个,恭喜少侠达成过关条件:关卡中己方死亡灵将少于{0}个,未能达成过关条件：关卡中己方死亡灵将少于{0}个,1,3
2001,关卡中己方死亡灵将少于{0}个,死亡灵将：{0}/{1}个,恭喜少侠达成过关条件:关卡中己方死亡灵将少于{0}个,未能达成过关条件：关卡中己方死亡灵将少于{0}个,1,2
2002,关卡中己方死亡灵将少于{0}个,死亡灵将：{0}/{1}个,恭喜少侠达成过关条件:关卡中己方死亡灵将少于{0}个,未能达成过关条件：关卡中己方死亡灵将少于{0}个,1,1
3000,关卡中召唤灵将小于{0}次,召唤灵将：{0}/{1}次,恭喜少侠达成过关条件:关卡中召唤灵将小于{0}次,未能达成过关条件：关卡中召唤灵将小于{0}次,2,5
3001,关卡中召唤灵将小于{0}次,召唤灵将：{0}/{1}次,恭喜少侠达成过关条件:关卡中召唤灵将小于{0}次,未能达成过关条件：关卡中召唤灵将小于{0}次,2,4
3002,关卡中召唤灵将小于{0}次,召唤灵将：{0}/{1}次,恭喜少侠达成过关条件:关卡中召唤灵将小于{0}次,未能达成过关条件：关卡中召唤灵将小于{0}次,2,3
4000,关卡中使用技能小于{0}次,使用技能：{0}/{1}次,恭喜少侠达成过关条件:关卡中使用技能小于{0}次,未能达成过关条件：关卡中使用技能小于{0}次,3,10
4001,关卡中使用技能小于{0}次,使用技能：{0}/{1}次,恭喜少侠达成过关条件:关卡中使用技能小于{0}次,未能达成过关条件：关卡中使用技能小于{0}次,3,8
4002,关卡中使用技能小于{0}次,使用技能：{0}/{1}次,恭喜少侠达成过关条件:关卡中使用技能小于{0}次,未能达成过关条件：关卡中使用技能小于{0}次,3,6
5000,关卡结束时总血量大于{0}%,总血量：{0}/{1}%,恭喜少侠达成过关条件:关卡结束时总血量大于{0}%,未能达成过关条件：关卡结束时总血量大于{0}%,4,10
5001,关卡结束时总血量大于{0}%,总血量：{0}/{1}%,恭喜少侠达成过关条件:关卡结束时总血量大于{0}%,未能达成过关条件：关卡结束时总血量大于{0}%,4,15
5002,关卡结束时总血量大于{0}%,总血量：{0}/{1}%,恭喜少侠达成过关条件:关卡结束时总血量大于{0}%,未能达成过关条件：关卡结束时总血量大于{0}%,4,20
5003,关卡结束时总血量大于{0}%,总血量：{0}/{1}%,恭喜少侠达成过关条件:关卡结束时总血量大于{0}%,未能达成过关条件：关卡结束时总血量大于{0}%,4,25
5004,关卡结束时总血量大于{0}%,总血量：{0}/{1}%,恭喜少侠达成过关条件:关卡结束时总血量大于{0}%,未能达成过关条件：关卡结束时总血量大于{0}%,4,30
5005,关卡结束时总血量大于{0}%,总血量：{0}/{1}%,恭喜少侠达成过关条件:关卡结束时总血量大于{0}%,未能达成过关条件：关卡结束时总血量大于{0}%,4,35
5006,关卡结束时总血量大于{0}%,总血量：{0}/{1}%,恭喜少侠达成过关条件:关卡结束时总血量大于{0}%,未能达成过关条件：关卡结束时总血量大于{0}%,4,40
5007,关卡结束时总血量大于{0}%,总血量：{0}/{1}%,恭喜少侠达成过关条件:关卡结束时总血量大于{0}%,未能达成过关条件：关卡结束时总血量大于{0}%,4,45
5008,关卡结束时总血量大于{0}%,总血量：{0}/{1}%,恭喜少侠达成过关条件:关卡结束时总血量大于{0}%,未能达成过关条件：关卡结束时总血量大于{0}%,4,50
5009,关卡结束时总血量大于{0}%,总血量：{0}/{1}%,恭喜少侠达成过关条件:关卡结束时总血量大于{0}%,未能达成过关条件：关卡结束时总血量大于{0}%,4,55
5010,关卡结束时总血量大于{0}%,总血量：{0}/{1}%,恭喜少侠达成过关条件:关卡结束时总血量大于{0}%,未能达成过关条件：关卡结束时总血量大于{0}%,4,60
5011,关卡结束时总血量大于{0}%,总血量：{0}/{1}%,恭喜少侠达成过关条件:关卡结束时总血量大于{0}%,未能达成过关条件：关卡结束时总血量大于{0}%,4,65
5012,关卡结束时总血量大于{0}%,总血量：{0}/{1}%,恭喜少侠达成过关条件:关卡结束时总血量大于{0}%,未能达成过关条件：关卡结束时总血量大于{0}%,4,65
5013,关卡结束时总血量大于{0}%,总血量：{0}/{1}%,恭喜少侠达成过关条件:关卡结束时总血量大于{0}%,未能达成过关条件：关卡结束时总血量大于{0}%,4,65
5014,关卡结束时总血量大于{0}%,总血量：{0}/{1}%,恭喜少侠达成过关条件:关卡结束时总血量大于{0}%,未能达成过关条件：关卡结束时总血量大于{0}%,4,65
5015,关卡结束时总血量大于{0}%,总血量：{0}/{1}%,恭喜少侠达成过关条件:关卡结束时总血量大于{0}%,未能达成过关条件：关卡结束时总血量大于{0}%,4,65
5016,关卡结束时总血量大于{0}%,总血量：{0}/{1}%,恭喜少侠达成过关条件:关卡结束时总血量大于{0}%,未能达成过关条件：关卡结束时总血量大于{0}%,4,65
5017,关卡结束时总血量大于{0}%,总血量：{0}/{1}%,恭喜少侠达成过关条件:关卡结束时总血量大于{0}%,未能达成过关条件：关卡结束时总血量大于{0}%,4,65
5018,关卡结束时总血量大于{0}%,总血量：{0}/{1}%,恭喜少侠达成过关条件:关卡结束时总血量大于{0}%,未能达成过关条件：关卡结束时总血量大于{0}%,4,65
5019,关卡结束时总血量大于{0}%,总血量：{0}/{1}%,恭喜少侠达成过关条件:关卡结束时总血量大于{0}%,未能达成过关条件：关卡结束时总血量大于{0}%,4,65
6000,在{0}秒内击败关卡BOSS,已用时间：{0}/{1}秒,恭喜少侠达成过关条件:在{0}秒内击败关卡BOSS,未能达成过关条件：在{0}秒内击败关卡BOSS,5,60
6001,在{0}秒内击败关卡BOSS,已用时间：{0}/{1}秒,恭喜少侠达成过关条件:在{0}秒内击败关卡BOSS,未能达成过关条件：在{0}秒内击败关卡BOSS,5,30
6002,在{0}秒内击败关卡BOSS,已用时间：{0}/{1}秒,恭喜少侠达成过关条件:在{0}秒内击败关卡BOSS,未能达成过关条件：在{0}秒内击败关卡BOSS,5,10
6003,在{0}秒内击败关卡BOSS,已用时间：{0}/{1}秒,恭喜少侠达成过关条件:在{0}秒内击败关卡BOSS,未能达成过关条件：在{0}秒内击败关卡BOSS,5,40
7001,消灭关卡BOSS,关卡BOSS：{0}/{1}/1,恭喜少侠达成过关条件:消灭关卡BOSS,未能达成过关条件：消灭关卡BOSS,6,1
