INT,STRING,STRING,STRING,STRING,INT,INT,INT,INT,INT,INT,INT,INT
INDEX,STONE_ATLAS_NAME,STONE_SPRITE_NAME,NAME,DESCRIPTION,GEM_TYPE,FAIL_POINT_1,FAIL_POINT_2,FAIL_POINT_3,FAIL_POINT_4,FAIL_POINT_5,FAIL_POINT_6,FAIL_POINT_7
0,图集名,icon名,名称,描述,灵石大小,1星失败点数,2星失败点数,3星失败点数,4星失败点数,5星失败点数,6星失败点数,7星失败点数
1000,GemAtlas,gem_red_small,红色小灵石,火属性小灵石，强化火属性符灵时，有较低成功率加成！,1,50,17,11,4,1,1,1
1001,GemAtlas,gem_red_middle,红色中灵石,火属性中灵石，强化火属性符灵时，有中等成功率加成！,2,100,50,33,11,6,4,3
1002,GemAtlas,gem_red_large,红色大灵石,火属性大灵石，强化火属性符灵时，有较高成功率加成！,3,100,100,100,33,17,11,8
1003,GemAtlas,gem_blue_small,蓝色小灵石,水属性小灵石，强化水属性符灵时，有较低成功率加成！,1,50,17,11,4,1,1,1
1004,GemAtlas,gem_blue_middle,蓝色中灵石,水属性中灵石，强化水属性符灵时，有中等成功率加成！,2,100,50,33,11,6,4,3
1005,GemAtlas,gem_blue_large,蓝色大灵石,水属性大灵石，强化水属性符灵时，有较高成功率加成！,3,100,100,100,33,17,11,8
1006,GemAtlas,gem_green_small,绿色小灵石,木属性小灵石，强化木属性符灵时，有较低成功率加成！,1,50,17,11,4,1,1,1
1007,GemAtlas,gem_green_middle,绿色中灵石,木属性中灵石，强化木属性符灵时，有中等成功率加成！,2,100,50,33,11,6,4,3
1008,GemAtlas,gem_green_large,绿色大灵石,木属性大灵石，强化木属性符灵时，有较高成功率加成！,3,100,100,100,33,17,11,8
1009,GemAtlas,gem_gold_small,黄色小灵石,阳属性小灵石，强化阳属性符灵时，有较低成功率加成！,1,50,17,11,4,1,1,1
1010,GemAtlas,gem_gold_middle,黄色中灵石,阳属性中灵石，强化阳属性符灵时，有中等成功率加成！,2,100,50,33,11,6,4,3
1011,GemAtlas,gem_gold_large,黄色大灵石,阳属性大灵石，强化阳属性符灵时，有较高成功率加成！,3,100,100,100,33,17,11,8
1012,GemAtlas,gem_shadow_small,暗色小灵石,阴属性小灵石，强化阴属性符灵时，有较低成功率加成！,1,50,17,11,4,1,1,1
1013,GemAtlas,gem_shadow_middle,暗色中灵石,阴属性中灵石，强化阴属性符灵时，有中等成功率加成！,2,100,50,33,11,6,4,3
1014,GemAtlas,gem_shadow_large,暗色大灵石,阴属性大灵石，强化阴属性符灵时，有较高成功率加成！,3,100,100,100,33,17,11,8
