INDEX,EQUIP_STERNG_LEVEL,EQUIP_STERNG_BUFF1,EQUIP_STERNG_BUFF2,EQUIP_STERNG_BUFF3,EQUIP_STERNG_BUFF4,EQUIP_REFINE_LEVEL,EQUIP_REFINE_BUFF1,EQUIP_REFINE_BUFF2,MAGIC_STERNG_LEVEL,MAGIC_STERNG_BUFF1,MAGIC_STERNG_BUFF2,MAGIC_STERNG_BUFF3,MAGIC_REFINE_LEVEL,MAGIC_REFINE_BUFF1,MAGIC_REFINE_BUFF2
INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,320101,0,0,0,2,320501,320601,5,320701,320801,321101,1,320901,321001
2,20,320102,320201,0,0,4,320502,320602,10,320702,320802,321102,2,320902,321002
3,30,320103,320202,0,0,6,320503,320603,15,320703,320803,321103,3,320903,321003
4,40,320104,320203,320301,0,8,320504,320604,20,320704,320804,321104,5,320904,321004
5,50,320105,320204,320302,0,10,320505,320605,25,320705,320805,321105,7,320905,321005
6,60,320106,320205,320303,0,12,320506,320606,30,320706,320806,321106,9,320906,321006
7,70,320107,320206,320304,0,14,320507,320607,35,320707,320807,321107,11,320907,321007
8,80,320108,320207,320305,0,16,320508,320608,40,320708,320808,321108,13,320908,321008
9,90,320109,320208,320306,0,18,320509,320609,45,320709,320809,321109,15,320909,321009
10,100,320110,320209,320307,0,20,320510,320610,50,320710,320810,321110,17,320910,321010
11,110,320111,320210,320308,0,22,320511,320611,55,320711,320811,321111,19,320911,321011
12,120,320112,320211,320309,0,24,320512,320612,60,320712,320812,321112,20,320912,321012
13,130,320113,320212,320310,0,26,320513,320613,65,320713,320813,321113,0,0,0
14,140,320114,320213,320311,0,28,320514,320614,70,320714,320814,321114,0,0,0
15,150,320115,320214,320312,0,30,320515,320615,75,320715,320815,321115,0,0,0
16,160,320116,320215,320313,0,32,320516,320616,80,320716,320816,321116,0,0,0
17,170,320117,320216,320314,0,34,320517,320617,0,0,0,0,0,0,0
18,180,320118,320217,320315,0,36,320518,320618,0,0,0,0,0,0,0
19,190,320119,320218,320316,0,38,320519,320619,0,0,0,0,0,0,0
20,200,320120,320219,320317,0,40,320520,320620,0,0,0,0,0,0,0
21,210,320121,320220,320318,0,42,320521,320621,0,0,0,0,0,0,0
22,220,320122,320221,320319,0,44,320522,320622,0,0,0,0,0,0,0
23,230,320123,320222,320320,0,46,320523,320623,0,0,0,0,0,0,0
24,240,320124,320223,320321,0,48,320524,320624,0,0,0,0,0,0,0
