INDX,TYPE,TASK_NAME,AWARD_TIP,ICON_ATLAS_NAME,ICON_SPRITE_NAME,TASK_SHOW_LVMIN,TASK_SHOW_LVMAX,GATES_TYPE,NUM,LEVEL,AWARD_ITEM,SCORE_NUM,ID,Item_ID
INT,INT,STRING,STRING,STRING,STRING,INT,INT,INT,INT,INT,STRING,INT,INT,INT
3001001,1,通关轻松难度副本10次,体力丹x1，积分x10,ResourceAtlas1,material_tilidan,0,120,1,10,0,2000013#1,10,10021,2000013
3002001,2,竞技场战斗5次,精力丹x1，积分x5,ResourceAtlas1,material_jinglidan,10,120,0,5,0,2000014#1,5,10009,2000014
3003001,3,赠送好友精力10次,银币x50000，积分x10,ResourceAtlas1,icon_yinbi,10,120,0,10,0,1000002#50000,10,10023,1000002
3005001,5,装备强化5次,银币x50000，积分x5,ResourceAtlas1,icon_yinbi,0,120,0,5,0,1000002#50000,10,10005,1000002
3006001,6,装备精炼5次,中品精炼仙露x5，积分x5,ResourceAtlas1,material_jinglian2,30,120,0,5,0,2000005#5,5,10006,2000007
3007001,7,神器强化3次,银币x50000，积分x5,ResourceAtlas1,icon_yinbi,10,120,0,3,0,1000002#50000,5,10007,1000002
3017001,17,封灵塔战斗3次,橙色装备箱子x1，积分x5,ResourceAtlas1,material_baoxiang1,22,120,0,3,0,2000204#1,5,10020,2000204
3018001,18,神器合成3次,精力丹x1，积分x5,ResourceAtlas1,icon_yinbi,15,120,0,3,0,2000014#1,5,10010,2000014
3020001,20,商店普通抽卡3次,银符令x5，积分x10,ResourceAtlas1,material_yinlingfu,0,120,0,3,0,2000010#5,10,10015,2000010
3021001,21,商店高级抽卡1次,将魂x50，积分x20,ResourceAtlas1,material_baoxiang1,0,120,0,1,0,1000004#50,20,10015,1000004
3022001,22,攻打天魔次数10次,降魔令x2，积分x10,ResourceAtlas1,material_xiangmoling,35,120,0,10,0,1000010#2,10,10024,1000010
3024001,24,购买5次体力丹,元宝x30，积分x10,ResourceAtlas1,material_tilidan,0,120,0,5,0,1000001#30,10,10013,1000001
3025001,25,购买5次精力丹,元宝x30，积分x10,ResourceAtlas1,material_jinglidan,0,120,0,5,0,1000001#30,10,10013,1000001
3014001,14,帮助好友镇压镇妖暴动3次,精力丹x1，积分x5,ResourceAtlas1,material_jinglidan,32,120,0,3,0,2000014#1,5,10019,2000014
3015001,15,累计镇妖12小时,精力丹x1，积分x5,ResourceAtlas1,material_jinglidan,32,120,0,12,0,2000014#1,10,10019,2000014
3031001,31,25元月卡每日奖励,元宝x100,ResourceAtlas1,icon_yuanbao,0,120,0,1,0,1000001#100,0,10025,1000001
3032001,32,50元月卡每日奖励,元宝x200,ResourceAtlas1,icon_yuanbao,0,120,0,1,0,1000001#200,0,10025,1000001
