STRING,STRING,STRING,STRING,STRING
WINDOW_NAME,WIN_PREFAB,SCRIPT,ANCHOR,INFO
BOSS_APPEAR_WINDOW,boss_appear01_window,BossAppearWindow,,一阶BOSS出现窗口
FRIEND_WINDOW,friend_window,,,好友窗口
FRIEND_VISIT_WINDOW,friend_visit_window,FriendVisitWindow,BottomAnchor,好友访问窗口
MAIL_WINDOW,mail_window,,,邮件窗口
MESSAGE,message_window,MessageWindow,,
BOSS_APPEAR02_WINDOW,boss_appear02_window,BossAppearWindow,,二阶BOSS出现窗口
BOSS_DAMAGE_WINDOW,boss_damage_list_window,,,BOSS伤害列表信息窗口
GUIDE_BASE_MASK_WINDOW,guide_base_mask_window,GuideBaseMaskWindow,,引导基础遮罩窗口
GUIDE_MASK_WINDOW,guide_mask_window,GuideMaskWindow,,引导遮罩窗口
GUIDE_DIALOG_WINDOW,guide_dialog_window,GuideDialogWindow,BottomAnchor,引导剧情对话窗口
BOSS_BATTLE_ACCOUNT_WINDOW,boss_account_lose_window,BossBattleAccountWindow,,BOSS战斗结束窗口
SELECT_CREATE_ROLE_WINDOW,select_create_main_role,SelectCreateRoleWindow,,创建角色窗口
SELECT_CREATE_NAME_WINDOW,select_create_name_window,SelectCreateNameWindow,,创建角色名字窗口
INVITE_CODE_WINDOW,invite_code_window,InviteCodeWindow,,邀请码窗口
TASK_ACHIEVE_WINDOW,task_achieve_window,TaskAchieveWindow,TopAnchor,任务完成通知
PVP_SELECT_ENTER,pvp_select_enter,PVP_SelectEnterWindow,,PVP选择进入
PVP_SEARCH_OPPONENT,pvp_window_back_group,PVP_Secarch_opponent,TopAnchor,PVP搜索对手
PVP_TEAM_ADJUST,pvp_window_back_group,PVP_Team_Adjust,TopAnchor,pvp调整队伍
PVP_VICTORY_PREDICT_WINDOW,pvp_victory_predict,PVP_VictoryPredictWindow,,PVP预测
PVP_FINISH_WINDOW,pvp_result_window,PVP_FinishWindow,,
PVP_BUY_TICKET,pvp_buy_ticket,PVP_BuyTicketWindow,,
LOGIN_WINDOW,login_window,LoginWindow,,登陆窗口
BOARD_WINDOW,board_window,BoardWindow,,公告板窗口
MESSAGE_WINDOW,message_ok_window,,,公共弹框窗口
PET_SKILL_WINDOW,pet_skill_window,PetSkillWindow,,宠物技能界面
PET_DECOMPOSE_WINDOW,pet_decompose_window,PetDecomposeWindow,,宠物分解界面
ROLE_INFO_WINDOW,role_info_window,RoleInfoWindow,,主角信息窗口
COMPOSITION_INFO_WINDOW,all_role_attribute_info_window,AllRoleAttributeInfoWindow,,主角窗口
ROLE_EQUIP_CULTIVATE_WINDOW,role_equip_cultivate_window,RoleEquipCultivateWindow,,法宝养成窗口
ROLE_EQUIP_COMPOSITION_WINDOW,role_equip_composition_window,RoleEquipCompositionWindow,,法宝合成窗口
COMPOSITION_INFO_WINDOW,composition_info_window,CompositionInfoWindow,,合成图鉴窗口
ROLE_INFO_CHANGE_ROLE_WINDOW,role_info_change_role_window,RoleInfoChangeRoleWindow,,
STAR_LEVEL_UP_WINDOW,role_start_levelup_window,RoleStarLevelUpWindow,,升星窗口
BATTLE_PLAYER_WINDOW,battle_player_info_window,BattlePlayerInfoWindow,TopLeftAnchor,战场角色及宠物信息
BATTLE_PLAYER_EXP_WINDOW,battle_player_exp_window,BattlePlayerExpWindow,BottomAnchor,战场角色经验信息
BATTLE_BOSS_HP_WINDOW,battle_boss_hp_window,BattleBossHpWindow,TopAnchor,战场中BOSS的血量信息
BATTLE_PVE_INFO_WINDOW,battle_pve_info_window,BattlePveInfoWindow,,PVE失败及退出
BATTLE_AUTO_FIGHT_BUTTON,battle_auto_fight_button,BattleAutoBattleWindow,BottomLeftAnchor,战场左下角自动战斗
PVE_TOP_RIGHT_WINDOW,pve_top_right_window,PveMiniMapWindow,TopRightAnchor,PVE小地图
BATTLE_SKILL_WINDOW,battle_skill_window,BattleSkillWindow,BottomRightAnchor,战场技能按钮
PVE_BATTLE_WINDOW,,PveBattleWindow,,
RAMMBOCK_BATTLE_WINDOW,,RammbockBattleWindow,,爬塔战斗界面窗口
RAMMBOCK_LIST_WINDOW,rammbock_list_window,RammbockListWindow,,爬塔一键三星窗口
MASK_OPERATE_WINDOW,mask_operate_window,tWindow,,遮挡点击操作
PVP_PLAYER_WINDOW,pvp_player_window,PVP_PlayerInfoWindow,TopLeftAnchor,PVP主角信息窗口
PVP_OTHER_PLAYER_WINDOW,pvp_other_player_window,PVP_OtherPlayerWindow,TopRightAnchor,PVP对手信息
PVP_WINDOW,,PVPWindow,,PVP战斗界面
BOSS_BATTLE_WINDOW,,BossBattleWindow,,BOSS战斗界面
BATTLE_START_WINDOW,pvp_begin_battle_window,tWindow,,战斗开始文字窗口
BOSS_ATTACK_INFO_WINDOW,boss_attack_info_window,BossAttackInfoWindow,TopRightAnchor,BOSS战伤害排名窗口
PVP_PET_TEAM_WINDOW,pvp_pet_team_window,PVP_PetTeamWindow,,PVP上阵宠物信息显示
PVP_PLAYER_RANK_WINDOW,pvp_player_rank_window,PVP_PlayerRankWindow,,PVP当前玩家排行信息
PVP_PET_BAG_WINDOW,pvp_pet_bag_window,PVP_PetBagWindow,,PVP宠物背包
PVP_RANK_WINDOW,pvp_rank_window,PVP_RankWindow,,
BAG_INFO_WINDOW,bag_info_window,BagInfoWindow,main_center_group,玩家背包
INFO_GROUP_WINDOW,info_group_window,InfoGroupWindow,TopAnchor,玩家财务信息
ILLUSTRATED_HANDBOOK_WINDOW,illustrated_handbook_window,IllustratedHandbookWindow,,图鉴
PET_INFO_SINGLE_WINDOW,common_pet_info_single_window,PetInfoSingleWindow,,宠物信息
PVP_PET_INFO_SINGLE_WINDOW,common_pet_info_single_window,PVPPetInfoSingleWindow,,
DAILY_SIGN_WINDOW,daily_sign_window,DailySignWindow,,每日签到窗口
MAIN_UI_WIDNOW,main_ui_window,MainRootWindow,,主界面
MAIN_CENTER_GROUP,main_center_group,MainWindow,,主界面center
ROLE_SEL_BOTTOM_GROUP,role_sel_bottom_group,RoleSelBottomWindow,BottomAnchor,角色选择bottom
ROLE_SEL_BOTTOM_LEFT_GROUP,role_sel_bottom_left_group,RoleSelBottomLeftWindow,BottomLeftAnchor,角色选择left bottom
ROLE_SEL_BOTTOM_RIGHT_GROUP,role_sel_bottom_right_group,RoleSelBottomRightWindow,BottomRightAnchor,角色选择right bottom
ROLE_SEL_CENTER_GROUP,role_sel_center_group,RoleSelWindow,,角色选择center
ROLE_SEL_TOP_GROUP,role_sel_top_group,RoleSelTopWindow,TopAnchor,角色选择top
ROLE_SEL_TOP_RIGHT_GROUP,role_sel_top_right_group,RoleSelTopRightWindow,TopRightAnchor,角色选择right top
ROLE_SEL_TOP_LEFT_GROUP,role_sel_top_left_group,RoleSelTopLeftWindow,TopLeftAnchor,角色选择left top
ROLE_SKIN_CHANGE_WINDOW,role_skin_change_window,RoleSkinChangeWindow,,切换玩家皮肤界面
,,,,
START_GAME_LOADING_WINDOW,start_game_loading_window,StartGameLoadingWindow,,游戏开始loading界面
MAIN_SCENE_LOADING_WINDOW,main_scene_loading_window,MainGameSceneLoadingWindow,,进入主界面loading界面
BATTLE_LOADING_WINDOW,battle_loading_window,BattleLoadingWindow,,战斗开始loading界面
GUILD_BOSS_BATTLE_LOADING_WINDOW,guild_boss_battle_loading_window,GuildBossBattleLoadingWindow,,公会BOSS战斗开始loading界面
BOSS_BATTLE_LOADING_WINDOW,boss_battle_loading_window,BossBattleLoadingWindow,,BOSS战斗开始loading界面
PVP_BATTLE_LOADING_WINDOW,pvp_battle_loading_window,PVPBattleLoadingWindow,,6V6战斗开始loading界面
PVP_FOUR_VS_FOUR_BATTLE_LOADING_WINDOW,pvp_four_vs_four_battle_loading_window,PVPFourVsFourBattleLoadingWindow,,4v4战斗开始loading界面
PROLOGUE_LOADING_WINDOW,prologue_loading_window,PrologueLoadingWindow,,序章战斗返回loading界面
,,,,
LANDING_WINDOW,landing_window,EnterGameWindow,,
SELECT_PET_WINDOW,select_pet_window,SelectPetWindow,,宠物选择界面
COMMON_TIP_WINDOW,common_tip_window,CommonTipWindow,,提示界面
BATTLE_SETTINGS_WINDOW,battle_settings_window,BattleSettingsWindow,,战斗设置
GAME_SETTINGS_WINDOW,game_settings_window,GameSettingsWindow,,游戏设置
ANNOUNCEMENT_WINDOW,announcement_window,AnnouncementWindow,TopAnchor,广播消息窗口
PVP_RECORD_WINDOW,pvp_record_window,PVP_RecordWindow,,PVP攻击记录窗口
PVP_RECORD_SHOW_WINDOW,pvp_record_show_window,PVP_RecordShowWindow,TopLeftAnchor,打开PVP攻击记录按钮
PVP_REVENGE_WINDOW,pvp_window_back_group,PVP_RevengeWindow,TopAnchor,PVP复仇窗口
PVP_ATTACKER_INFO_WINDOW,pvp_main_rival_info,PVP_AttackerWindow,,复仇对手信息
PVE_SUCCESS_WINDOW,pve_success_window,tWindow,,pve胜利文字窗口
