INT,STRING,STRING,STRING
INDEX,DESC,MEMO,NAME
0,显示内容,备注,标题栏
1,[FEB900]游戏好友：[EEEEEE]游戏中与您是好友关系的好友，您可以对他们进行访问查看他们的信息，也可以向他们赠送好友点来进行各种交互。\n[FEB900]添加好友:[EEEEEE]您可以管理您所有的好友请求。,社交菜单,帮助
2,[FEB900]每日任务：[EEEEEE]您可以每天完成的任务，可以获得基本的提升资源为您的增强提供稳健的基础。\n[FEB900]每周任务：[EEEEEE]每周的任务提供了额外的奖励内容，完成每周任务都可以获得大量的奖励。\n[FEB900]成就任务：[EEEEEE]循序渐进的奖励内容，可以获得丰富的奖励，也是您成长的轨迹。,任务菜单,帮助
3,[FEB900]主角信息：[EEEEEE]查看您所操控的主角的能力，并切换所操控的主角形象。\n[FEB900]主角升阶：[EEEEEE]当主角提升到一定等级时，可以通过消耗[FF3333]灵石[EEEEEE]来大幅度提升主角的能力，主角的[FF3333]形象[EEEEEE]也会随之改变。\n[FEB900]法宝养成：[EEEEEE]您可以从各处获得的[FF3333]法宝[EEEEEE]来给主角穿戴，它们可以给您操纵的主角提供给中能力加成并赋予属性。,主角菜单,帮助
4,[FEB900]队伍：[EEEEEE]您在这里能够浏览到所有的宠物，以及在这里可以挑战所带的符灵队伍。\n[FEB900]升级：[EEEEEE]您可以提升所需要提升的符灵的等级，通过吞噬的方法来提升，被吞噬的符灵将会消失。\n[FEB900]强化：[EEEEEE]所有符灵均可通过献祭宝石的方式来进行强化。宝石品质越高，强化成功的概率越高。献祭的宝石和符灵为同属性时，强化成功率有加成。如果强化失败，则会根据宝石品质转化为强化点数，强化点数累积到100的时候，强化必然成功。\n[FEB900]进化：[EEEEEE]所有1-4星符灵满级并且强化到+5的时候方可进化，进化需要消耗对应的宝石，进化成功之后会随机进化成一个新的更高一星的符灵，但不继承原有符灵的等级和强化。,符灵菜单,帮助
5,[FEB900]符灵对决：[EEEEEE]在竞技场中您可以和其他玩家互相切磋比试来获得积分。积分每周会进行刷新并分发奖励。尝试成为[FF3333]最强[EEEEEE]的封灵师吧！,PVP竞技场,帮助
6,[FEB900]符灵对决：[EEEEEE]属性竞技场与竞技场一样，您可以和其他玩家相互切磋获得积分并每周发放奖励，只是每种属性的竞技场只能上阵与竞技场属性想通的符灵进行战斗！,属性竞技场,帮助
7,[FEB900]玩法介绍：[EEEEEE]无尽模式共有99关，进入无尽模式后，需在规定时间内清除所有的怪物，每关结束后会有一定的休息时间，当主角死亡或者规定时间内没有清除掉怪物就算挑战失败哦！每天每个玩家有两次机会挑战，每关结束都会单独结算奖励，关卡越高奖励越高哦！~,无尽模式,帮助
8,[FEB900]公会：[EEEEEE]玩家需要到达20级后才可以创建和加入公会，创建公会需要消耗100元宝，退出公会后1小时内不能加入其他公会，1天内你不能加入原公会。\n[FEB900]公会科技：[EEEEEE]公会成长的必要途径，点亮科技图标可以增加公会的等级，公会人数上限，公会商店物品量，还能给全公会成员增加永久buff。\n[FEB900]公会捐献：[EEEEEE]公会成员增加公会贡献和个人贡献的主要途径，公会贡献能够点亮科技图标，个人贡献能够在公会商店中兑换物品。\n[FEB900]公会商店：[EEEEEE]公会的福利之一，提供玩家消耗个人贡献来兑换各种物品。\n[FEB900]公会战：[EEEEEE]公会成员齐心协力体现公会实力的战场，也是公会玩家获得公会贡献和个人贡献的途径之一。\n[FEB900]公会战玩法：[EEEEEE]公会战每周五0点开启，24点结束。开启后所有有公会的玩家均可以通过公会战界面选择对战的公会，进入战场后需要尽全力进攻敌方公会的战旗，敌方公会每隔一段时间会派出守护者来守护，知道主角阵亡或时间结束，通过伤害量来进行排名，公会战奖励会在公会战结束后根据排名发放。,公会菜单,帮助
9,[FEB900]团队副本：[EEEEEE]团队副本最多支持3～5名玩家同时攻略的一个小型关卡，在30分钟时间限制内击败守关的强大BOSS来获得大量强大的武器与超级稀有的符灵。,团队副本菜单,帮助
10,[FEB900]铜钱关卡：[EEEEEE]铜钱关卡是玩家打钱最快速的方法，铜钱关卡分为三个难度，每个难度每天均有五次机会挑战，钱不够的话，赶紧来挑战铜钱关卡哦~\n[FEB900]属性关卡：[EEEEEE]属性关卡是玩家获得符灵升级卡最快速的方法。符灵关卡分为5种属性，每个属性有三个不同的难度，每个难度每天均有5次挑战机会，想要快速升级符灵，属性关卡是最好的选择！~\n[FEB900]秘境探索：[EEEEEE]缺灵石吗？没关系，快来挑战秘境，在这里你可以挑战各种属性的秘境来获得对应属性的灵石哦！~,活动菜单,帮助
11,[FEB900]天魔：[EEEEEE]在挑战普通关卡的过程中，有几率会触发天魔，每次挑战天魔会消耗1点体力，可重复挑战，直到挑战成功。天魔出现后会在列表中出现，您和您的好友都可以进行挑战哦，当然您也可以看到还有触发的天魔，天魔死亡时，所有挑战者根据伤害量均能获得一定的奖励！注意，天魔存在时间仅为1小时，如果1小时内没有杀死，天魔将会逃走。,天魔菜单,帮助
12,[FEB900]符人探险团：[EEEEEE]您可以指派符人去四处寻找宝藏，寻宝等级会随着关卡等级提升。探索时间也会越来越长。,挂机菜单,帮助
13,[FEB900]排行榜：[EEEEEE]在这里你可以看到游戏中所有的排行，包括：6V6竞技场排名，各属性竞技场排名，角色战力排名，公会战排名和公会战斗力排名。,排行榜菜单,帮助
14,[FEB900]我要变强：[EEEEEE]您在这里可以找到游戏中各类玩法以及提升自身战力的方法，且能提前看到未开放的各类功能和开放等级，也可以在这里快速连接到对应的玩法界面。,增强菜单,帮助
