INDEX,DATA_TYPE,NOTE,TABLE_PATH
INT,STRING,STRING,STRING
1,CurLevel,强化大师等级索引,SERVER
2,TarLevel,激活强化大师，装备强化需要的等级限制,SERVER
3,StrengMasterBuff1,获得装备强化大师的BUFF,StrengMaster/EQUIP_STERNG_BUFF1
4,StrengMasterBuff2,获得装备强化大师的BUFF,StrengMaster/EQUIP_STERNG_BUFF2
5,StrengMasterBuff3,获得装备强化大师的BUFF,StrengMaster/EQUIP_STERNG_BUFF3
6,StrengMasterBuff4,获得装备强化大师的BUFF,StrengMaster/EQUIP_STERNG_BUFF4
7,EquipRefinBuff1,获得装备精炼大师的BUFF,StrengMaster/EQUIP_REFINE_BUFF1
8,EquipRefinBuff2,获得装备精炼大师的BUFF,StrengMaster/EQUIP_REFINE_BUFF2
9,MagicBuff1,获得法器强化大师的BUFF,StrengMaster/MAGIC_STERNG_BUFF1
10,MagicBuff2,获得法器强化大师的BUFF,StrengMaster/MAGIC_STERNG_BUFF2
11,MagicBuff3,获得法器强化大师的BUFF,StrengMaster/MAGIC_STERNG_BUFF3
12,RefinStrumentsBuff1,获得法器精炼大师BUFF,StrengMaster/MAGIC_REFINE_BUFF1
13,RefinStrumentsBuff2,获得法器精炼大师BUFF,StrengMaster/MAGIC_REFINE_BUFF2
14,StrengMasterBuff1_Tar,,SERVER
15,StrengMasterBuff2_Tar,,SERVER
16,StrengMasterBuff3_Tar,,SERVER
17,EquipRefinBuff1_Tar,,SERVER
18,EquipRefinBuff2_Tar,,SERVER
19,MagicBuff1_Tar,,SERVER
20,MagicBuff2_Tar,,SERVER
21,MagicBuff3_Tar,,SERVER
22,RefinStrumentsBuff1_Tar,,SERVER
23,RefinStrumentsBuff2_Tar,,SERVER
