INDEX,PIPE_LINE_TYPE,NOTE,COMPONENT_NAME,OPERATE_TYPE
INT,STRING,STRING,STRING,STRING
1,Set_YuanBao_Cost,设定元宝数值,,SetLabel
2,Set_zongmencontri_Cost,设定宗门贡献值数值,,SetLabel
3,Set_yinbi_Cost,设定银币数值,,SetLabel
4,Set_fuhuen_Cost,设定符魂数值,,SetLabel
5,Set_shengwang_Cost,设定声望数值,,SetLabel
6,Set_moling_Cost,设定魔麟数值,,SetLabel
7,Set_linghe_Cost,设定灵核数值,,SetLabel
8,Set_energy_Cost,设定精力数值,,SetLabel
9,Set_manual_Cost,设定体力数值,,SetLabel
10,Set_xiangmoling_Cost,设定降魔令数值,,SetLabel
11,YuanBao_Icon,元宝图标,,SetIcon
12,zongmencontri_Icon,宗门贡献图标,,SetIcon
13,yinbi_Icon,银币图标,,SetIcon
14,fuhuen_Icon,符魂图标,,SetIcon
15,shengwang_Icon,声望图标,,SetIcon
16,moling_Icon,魔麟图标,,SetIcon
17,linghe_Icon,灵核图标,,SetIcon
